Course,GPA,Year
LCC 3306,3.44 ,2013
ARCH 4842,3.81 ,2008
ARCH 4842,3.76 ,2009
ARCH 4842,3.72 ,2010
ARCH 4842,3.72 ,2011
ARCH 4842,4.00 ,2012
LCC 3302,2.54 ,2008
LCC 3302,3.55 ,2009
LCC 3302,3.40 ,2010
LCC 3302,3.82 ,2011
LCC 3302,3.50 ,2012
ECE 4560,3.88 ,2008
ECE 4560,3.75 ,2009
ECE 4560,3.72 ,2010
ECE 4560,3.67 ,2011
ECE 4560,3.22 ,2012
LCC 3308,3.70 ,2008
LCC 3308,3.69 ,2009
LCC 3308,3.47 ,2010
LCC 3308,3.92 ,2011
LCC 3308,3.59 ,2012
EAS 4480,3.38 ,2010
EAS 4480,3.13 ,2011
EAS 4480,3.46 ,2012
EAS 4480,3.63 ,2013
HTS 3100,3.83 ,2013
HTS 3103,4.00 ,2008
HTS 3103,4.00 ,2010
HTS 3103,4.00 ,2011
HTS 3102,2.67 ,2008
HTS 3102,3.27 ,2009
HTS 3102,2.62 ,2010
ID 2699,4.00 ,2008
ID 2699,4.00 ,2009
ID 2699,4.00 ,2010
ID 2699,4.00 ,2011
ID 2699,4.00 ,2012
ARBC 2002,3.00 ,2008
ARBC 2002,3.43 ,2009
ARBC 2002,3.33 ,2010
ARBC 2002,3.58 ,2011
ARBC 2002,3.08 ,2012
ARBC 2002,3.50 ,2013
ARBC 2001,3.15 ,2008
ARBC 2001,3.25 ,2009
ARBC 2001,3.95 ,2010
ARBC 2001,3.44 ,2011
ARBC 2001,3.25 ,2012
BC 4660,3.64 ,2008
BC 4660,3.28 ,2009
BC 4660,3.45 ,2010
BC 4660,3.80 ,2011
BC 4660,3.81 ,2012
BC 4660,3.55 ,2013
AS 1120,3.65 ,2008
AS 1120,3.62 ,2009
AS 1120,3.64 ,2010
AS 1120,3.79 ,2011
AS 1120,3.28 ,2012
AS 1120,3.22 ,2013
ECE 3902,3.00 ,2010
ECE 3902,4.00 ,2012
ECE 3902,4.00 ,2013
APPH 4651,2.80 ,2009
APPH 4651,3.50 ,2010
APPH 4651,3.14 ,2011
LCC 3410,3.21 ,2009
LCC 3410,3.38 ,2010
LCC 3410,3.29 ,2011
LCC 3410,3.43 ,2012
LCC 3412,2.89 ,2008
LCC 3412,2.77 ,2009
LCC 3412,2.88 ,2010
LCC 3412,3.33 ,2012
LCC 3412,2.83 ,2013
ECE 2699,4.00 ,2008
ECE 2699,4.00 ,2009
ECE 2699,4.00 ,2010
ECE 2699,3.50 ,2011
ECE 2699,4.00 ,2013
HTS 3813,3.11 ,2009
HTS 3813,3.37 ,2010
HTS 3813,3.40 ,2011
HTS 3813,3.46 ,2012
HTS 3813,3.86 ,2013
HTS 3070,2.88 ,2009
LCC 4813,3.55 ,2009
LCC 4813,4.00 ,2010
LCC 4813,4.00 ,2011
LCC 4813,3.48 ,2012
LCC 4813,3.99 ,2013
LCC 4814,4.00 ,2008
LCC 4814,4.00 ,2012
CS 4440,3.57 ,2008
CS 4440,3.71 ,2009
CS 4440,3.84 ,2010
CS 4440,3.42 ,2011
CS 4440,3.88 ,2012
BIOL 4464,3.37 ,2008
BIOL 4464,3.19 ,2011
BIOL 4464,3.28 ,2012
BIOL 4464,3.03 ,2013
SPAN 4901,4.00 ,2008
SPAN 4901,4.00 ,2009
FREN 4241,3.44 ,2008
FREN 4241,4.00 ,2011
FREN 4242,3.58 ,2009
FREN 4242,3.65 ,2011
FREN 4242,3.67 ,2012
NRE 2110,3.25 ,2008
NRE 2110,3.08 ,2009
NRE 2110,3.22 ,2010
NRE 2110,3.23 ,2011
NRE 2110,3.70 ,2012
NRE 2110,3.45 ,2013
PUBP 4600,3.22 ,2008
PUBP 4600,3.50 ,2009
PUBP 4600,3.67 ,2010
CS 3803,4.00 ,2009
CS 3803,4.00 ,2012
COA 4699,3.63 ,2010
COA 4699,4.00 ,2011
COA 4699,4.00 ,2012
PUBP 4609,3.41 ,2008
PUBP 4609,3.34 ,2009
PUBP 4609,3.29 ,2010
PUBP 4609,3.21 ,2011
PUBP 4609,3.09 ,2012
PUBP 4609,3.00 ,2013
HTS 4927,4.00 ,2008
AE 1350,3.14 ,2008
AE 1350,3.12 ,2009
AE 1350,2.81 ,2010
AE 1350,3.07 ,2011
AE 1350,3.10 ,2012
AE 1350,3.09 ,2013
HTS 4925,3.00 ,2011
HTS 4925,3.75 ,2012
AE 1355,3.85 ,2008
AE 1355,3.39 ,2009
AE 1355,3.50 ,2010
AE 1355,4.00 ,2011
AE 1355,4.00 ,2012
AE 1355,4.00 ,2013
CHBE 3200,2.97 ,2008
CHBE 3200,2.64 ,2009
CHBE 3200,2.63 ,2010
CHBE 3200,2.68 ,2011
CHBE 3200,2.70 ,2012
CHBE 3200,2.87 ,2013
PSYC 4050,2.33 ,2008
PSYC 4050,3.22 ,2012
SPAN 3050,3.00 ,2008
SPAN 3050,3.18 ,2009
SPAN 3050,3.24 ,2010
SPAN 3050,3.35 ,2011
SPAN 3050,3.44 ,2012
MGT 4010,3.34 ,2008
MGT 4010,3.58 ,2009
MGT 4010,2.91 ,2010
MGT 4010,2.84 ,2011
MGT 4010,2.88 ,2012
MGT 4010,3.40 ,2013
MGT 4015,2.87 ,2008
MGT 4015,3.23 ,2010
MGT 4015,3.11 ,2011
MGT 4015,3.08 ,2012
CS 4460,2.40 ,2009
CS 4460,2.45 ,2010
CS 4460,3.00 ,2011
CS 4460,3.34 ,2012
CHBE 4793,4.00 ,2009
CHBE 4793,2.00 ,2010
CHBE 4793,3.80 ,2011
CHBE 4793,3.31 ,2012
CHBE 4793,2.87 ,2013
CS 4464,3.39 ,2010
CS 4464,3.35 ,2012
CS 4464,3.72 ,2013
ECE 2030,2.89 ,2008
ECE 2030,2.78 ,2009
ECE 2030,2.75 ,2010
ECE 2030,2.90 ,2011
ECE 2030,2.92 ,2012
ECE 2031,3.19 ,2008
ECE 2031,3.23 ,2009
ECE 2031,3.23 ,2010
ECE 2031,3.22 ,2011
ECE 2031,3.29 ,2012
ECE 2031,3.23 ,2013
ECE 2035,2.83 ,2012
ECE 2035,2.82 ,2013
ECE 2036,2.88 ,2012
ECE 2036,2.89 ,2013
ID 4011,3.38 ,2008
ID 4011,3.26 ,2009
ID 4011,3.33 ,2010
ID 4011,3.73 ,2011
ID 4011,3.62 ,2012
ID 4011,4.00 ,2013
ID 4012,3.65 ,2008
ID 4012,3.42 ,2009
ID 4012,3.50 ,2010
ID 4012,3.64 ,2011
ID 4012,3.57 ,2012
ID 4012,3.75 ,2013
MSE 4901,4.00 ,2008
MSE 4901,4.00 ,2010
ECE 3030,3.51 ,2012
ECE 3030,2.87 ,2013
ECE 3741,3.47 ,2008
ECE 3741,3.40 ,2009
ECE 3741,3.41 ,2010
ECE 3741,3.42 ,2011
ECE 3741,3.39 ,2012
ECE 3741,3.36 ,2013
INTA 4740,2.83 ,2008
INTA 4740,3.00 ,2009
INTA 4740,2.69 ,2010
INTA 4740,3.36 ,2011
INTA 4740,3.54 ,2012
INTA 4741,3.00 ,2008
INTA 4741,3.17 ,2009
INTA 4741,4.00 ,2010
CS 4605,3.63 ,2008
CS 4605,3.45 ,2009
CS 4605,3.39 ,2010
CS 4605,3.68 ,2011
CS 4605,3.62 ,2013
PTFE 4740,2.67 ,2010
PTFE 4740,4.00 ,2011
PTFE 4740,3.67 ,2012
EAS 3110,3.36 ,2013
SPAN 3122,2.75 ,2009
FREN 4062,3.95 ,2009
NRE 4610,2.88 ,2008
NRE 4610,3.25 ,2009
NRE 4610,3.21 ,2010
NRE 4610,3.43 ,2011
NRE 4610,3.19 ,2012
PSYC 4699,3.99 ,2008
PSYC 4699,3.95 ,2009
PSYC 4699,3.92 ,2010
PSYC 4699,3.96 ,2011
PSYC 4699,3.95 ,2012
PSYC 4699,3.99 ,2013
CS 4261,3.29 ,2009
CS 4261,3.65 ,2010
CS 4261,3.80 ,2011
CS 4261,3.86 ,2012
CS 4261,3.75 ,2013
AE 3125,2.41 ,2008
AE 3125,2.52 ,2009
AE 3125,2.76 ,2010
AE 3125,3.28 ,2011
AE 3125,2.47 ,2012
AE 3125,3.01 ,2013
ECON 4440,2.86 ,2009
ECON 4440,2.56 ,2012
LCC 3112,3.21 ,2009
LCC 3112,2.75 ,2010
LCC 3112,3.37 ,2011
LCC 3112,3.42 ,2012
LCC 3112,3.21 ,2013
MSE 4010,3.00 ,2008
MSE 4010,3.21 ,2009
MSE 4010,2.96 ,2010
MSE 4010,2.97 ,2011
MSE 4010,3.41 ,2012
MSE 4010,2.97 ,2013
LCC 3114,3.25 ,2009
LCC 3114,2.91 ,2010
LCC 3114,3.19 ,2011
LCC 3114,3.66 ,2012
LCC 3114,3.63 ,2013
PSYC 2220,3.17 ,2008
PSYC 2220,2.74 ,2009
PSYC 2220,3.01 ,2010
PSYC 2220,2.69 ,2011
PSYC 2220,3.07 ,2012
PSYC 2220,3.42 ,2013
BMED 2210,2.44 ,2008
BMED 2210,2.11 ,2009
BMED 2210,2.46 ,2010
BMED 2210,2.62 ,2011
BMED 2210,2.84 ,2012
BMED 2210,3.01 ,2013
MATH 4580,3.72 ,2009
MATH 4580,3.74 ,2011
ECE 4823,3.32 ,2008
ECE 4823,3.33 ,2009
ECE 4823,2.97 ,2010
ECE 4823,3.37 ,2011
ECE 4823,2.87 ,2012
ECE 4823,2.98 ,2013
ME 2202,2.16 ,2008
ME 2202,2.43 ,2009
ME 2202,2.39 ,2010
ME 2202,2.33 ,2011
ME 2202,2.60 ,2012
ME 2202,2.39 ,2013
ME 4213,2.96 ,2008
ME 4213,2.78 ,2009
ME 4213,2.82 ,2010
ME 4213,3.07 ,2011
CP 4813,3.67 ,2009
CP 4813,3.83 ,2010
CP 4813,3.60 ,2011
ECON 4060,3.64 ,2008
ECON 4060,3.08 ,2009
ECON 4060,3.02 ,2011
ECON 4060,2.69 ,2012
ECON 4060,3.18 ,2013
CETL 4001,3.95 ,2008
CETL 4001,3.90 ,2009
CETL 4001,3.88 ,2010
CETL 4001,3.78 ,2011
CETL 4001,3.91 ,2012
CETL 4001,3.81 ,2013
CETL 4002,4.00 ,2008
CETL 4002,4.00 ,2009
CETL 4002,3.96 ,2010
CHBE 4803,3.84 ,2008
CHBE 4803,3.23 ,2009
CHBE 4803,3.66 ,2010
CHBE 4803,3.61 ,2011
CHBE 4803,3.57 ,2012
CHBE 4803,3.44 ,2013
CHBE 4802,4.00 ,2009
ID 4904,4.00 ,2012
ID 4903,4.00 ,2008
ID 4903,3.67 ,2009
ID 4903,3.80 ,2010
ID 4903,4.00 ,2012
ID 4903,4.00 ,2013
ID 4902,4.00 ,2008
ID 4902,3.80 ,2010
ID 4902,3.50 ,2011
ID 4902,4.00 ,2012
ID 4902,3.00 ,2013
ID 4901,4.00 ,2008
ID 4901,4.00 ,2009
ID 4901,3.50 ,2010
ID 4901,4.00 ,2011
ID 4901,3.33 ,2012
ID 4900,3.07 ,2008
ID 4900,3.33 ,2009
ID 4900,3.33 ,2011
ID 4900,4.00 ,2013
CHEM 4765,2.67 ,2008
CHEM 4765,3.22 ,2009
CHEM 4765,3.00 ,2010
CHEM 4765,3.00 ,2011
CHEM 4765,3.27 ,2012
CHEM 4765,3.50 ,2013
PHYS 3123,3.37 ,2008
PHYS 3123,2.33 ,2009
PHYS 3123,1.93 ,2010
PHYS 3123,3.02 ,2011
PHYS 3123,2.94 ,2012
PHYS 3123,2.19 ,2013
AE 4220,2.80 ,2008
AE 4220,2.67 ,2009
AE 4220,2.88 ,2010
AE 4220,2.53 ,2011
AE 4220,2.64 ,2012
AE 4220,2.84 ,2013
PHYS 3122,3.13 ,2008
PHYS 3122,2.76 ,2009
PHYS 3122,2.10 ,2010
PHYS 3122,2.89 ,2011
PHYS 3122,2.69 ,2012
BMED 2699,3.97 ,2008
BMED 2699,3.96 ,2009
BMED 2699,3.82 ,2010
BMED 2699,3.92 ,2011
BMED 2699,3.94 ,2012
BMED 2699,4.00 ,2013
MGT 3101,2.96 ,2008
MGT 3101,3.00 ,2009
MGT 3101,3.17 ,2010
MGT 3101,3.04 ,2011
MGT 3101,3.39 ,2012
MGT 3101,3.55 ,2013
MGT 3102,2.79 ,2008
MGT 3102,2.91 ,2009
MGT 3102,2.83 ,2010
MGT 3102,3.03 ,2011
MGT 3102,3.19 ,2012
MGT 3102,3.01 ,2013
MGT 3103,3.38 ,2011
MGT 3103,3.52 ,2012
MGT 3103,3.62 ,2013
ME 2110,3.42 ,2008
ME 2110,3.26 ,2009
ME 2110,3.41 ,2010
ME 2110,3.29 ,2011
ME 2110,3.38 ,2012
ME 2110,3.33 ,2013
MATH 3225,3.21 ,2009
MATH 3225,3.18 ,2010
MATH 3225,3.13 ,2011
ME 4813,3.28 ,2008
PHYS 3266,2.80 ,2008
PHYS 3266,2.56 ,2009
PHYS 3266,2.88 ,2011
PHYS 3266,2.85 ,2012
PHYS 3266,2.85 ,2013
PST 4176,3.35 ,2008
PST 4176,3.36 ,2009
PST 4176,3.02 ,2010
PST 4176,3.13 ,2011
PST 4174,3.24 ,2010
ME 4782,3.67 ,2008
ME 4782,2.67 ,2009
ME 4782,3.67 ,2010
ME 4782,2.67 ,2011
ME 4782,3.60 ,2012
ME 4782,3.33 ,2013
ME 4781,3.25 ,2009
ME 4781,3.00 ,2012
ME 4781,3.33 ,2013
INTA 2100,3.45 ,2008
INTA 2100,3.58 ,2009
INTA 2100,3.43 ,2010
INTA 2100,3.09 ,2011
INTA 2100,3.47 ,2012
INTA 2100,3.44 ,2013
ECE 3811,3.22 ,2009
ECE 3811,3.75 ,2010
ECE 3811,3.81 ,2011
ECE 3811,3.57 ,2012
ECE 3811,3.79 ,2013
ECE 3813,3.33 ,2008
ECE 3813,3.00 ,2009
ECE 3812,3.51 ,2009
ECE 3812,3.43 ,2010
ECE 3812,3.61 ,2011
ECE 3812,3.71 ,2012
ECE 3812,3.73 ,2013
JAPN 3002,3.61 ,2008
JAPN 3002,3.53 ,2009
JAPN 3002,3.93 ,2010
JAPN 3002,3.72 ,2011
JAPN 3001,3.47 ,2008
JAPN 3001,3.67 ,2009
JAPN 3001,3.64 ,2010
JAPN 3001,3.50 ,2011
JAPN 3001,3.77 ,2012
JAPN 3001,3.70 ,2013
ARBC 3691,3.20 ,2012
ARBC 3691,3.67 ,2013
ARBC 3693,3.33 ,2012
ARBC 3692,3.46 ,2012
ARBC 3692,3.33 ,2013
HTS 1081,3.19 ,2010
ECE 4175,3.12 ,2008
ECE 4175,3.10 ,2009
ECE 4175,3.12 ,2010
ECE 4175,3.28 ,2011
ECE 4175,3.16 ,2012
INTA 2030,3.31 ,2008
INTA 2030,3.22 ,2009
INTA 2030,3.38 ,2010
INTA 2030,3.16 ,2011
INTA 2030,3.18 ,2012
INTA 2030,3.08 ,2013
ARBC 2833,3.57 ,2013
MATH 2406,2.92 ,2008
MATH 2406,2.74 ,2009
MATH 2406,2.46 ,2010
MATH 2406,2.91 ,2011
MATH 2406,2.88 ,2012
MATH 2406,2.61 ,2013
MATH 2401,2.76 ,2008
MATH 2401,2.80 ,2009
MATH 2401,2.88 ,2010
MATH 2401,2.68 ,2011
MATH 2401,2.86 ,2012
MATH 2401,2.91 ,2013
MATH 2403,2.88 ,2008
MATH 2403,2.91 ,2009
MATH 2403,3.01 ,2010
MATH 2403,2.91 ,2011
MATH 2403,2.95 ,2012
MATH 2403,2.74 ,2013
EAS 4655,3.17 ,2008
EAS 4655,3.00 ,2009
EAS 4655,3.00 ,2010
EAS 4655,3.00 ,2011
EAS 4655,2.57 ,2012
MGT 2251,3.10 ,2008
MGT 2251,3.00 ,2009
MGT 2251,3.16 ,2010
MGT 2251,3.17 ,2011
MGT 2251,3.21 ,2012
MGT 2251,3.14 ,2013
MGT 2250,3.28 ,2008
MGT 2250,3.14 ,2009
MGT 2250,3.10 ,2010
MGT 2250,3.49 ,2011
MGT 2250,3.42 ,2012
MGT 2250,3.33 ,2013
KOR 3691,3.86 ,2011
KOR 3691,3.67 ,2012
KOR 3691,3.88 ,2013
KOR 3692,4.00 ,2011
KOR 3692,3.67 ,2012
KOR 3692,4.00 ,2013
KOR 3693,4.00 ,2011
KOR 3693,4.00 ,2012
KOR 3693,4.00 ,2013
LCC 3316,3.16 ,2011
LCC 3314,3.46 ,2008
LCC 3314,3.13 ,2009
LCC 3314,3.27 ,2010
LCC 3314,3.38 ,2011
LCC 3314,3.57 ,2012
LCC 3314,3.87 ,2013
PTFE 4902,4.00 ,2011
ECE 4570,3.25 ,2008
ECE 4570,2.89 ,2009
MATH 1501,2.29 ,2008
MATH 1501,2.34 ,2009
MATH 1501,2.64 ,2010
MATH 1501,2.63 ,2011
MATH 1501,2.90 ,2012
MATH 1501,2.30 ,2013
CS 3801,3.00 ,2010
CS 3802,3.50 ,2009
CS 3802,3.81 ,2010
CS 3802,3.62 ,2011
LCC 3318,3.71 ,2008
LCC 3318,2.94 ,2009
LCC 3318,3.57 ,2010
LCC 3318,3.76 ,2011
LCC 3318,3.40 ,2012
LCC 4700,3.55 ,2008
LCC 4700,4.00 ,2009
LCC 4700,4.00 ,2010
CHIN 2002,3.71 ,2008
CHIN 2002,3.88 ,2009
CHIN 2002,3.55 ,2010
CHIN 2002,3.80 ,2011
CHIN 2002,3.73 ,2012
CHIN 2002,3.70 ,2013
CHIN 2001,3.68 ,2008
CHIN 2001,3.79 ,2009
CHIN 2001,3.79 ,2010
CHIN 2001,3.03 ,2011
CHIN 2001,3.78 ,2012
CHIN 2001,3.84 ,2013
BC 4650,3.00 ,2008
BC 4650,3.17 ,2009
BC 4650,3.67 ,2010
BC 4650,3.80 ,2011
BC 4650,3.73 ,2012
BC 4650,3.60 ,2013
ARBC 3833,4.00 ,2010
EAS 4900,4.00 ,2009
EAS 4900,3.00 ,2010
EAS 4900,4.00 ,2011
ME 4214,3.14 ,2008
ME 4214,2.60 ,2009
ME 4214,3.52 ,2010
ME 4214,3.78 ,2011
ME 4214,2.94 ,2013
GRMN 4500,3.63 ,2010
GRMN 4500,3.90 ,2012
LCC 3408,2.13 ,2011
ME 4210,2.87 ,2008
ME 4210,2.75 ,2009
ME 4210,2.51 ,2010
ME 4210,3.17 ,2011
ME 4210,2.92 ,2012
ME 4210,3.01 ,2013
CS 1371,2.67 ,2008
CS 1371,2.61 ,2009
CS 1371,2.65 ,2010
CS 1371,2.71 ,2011
CS 1371,2.91 ,2012
CS 1371,2.81 ,2013
CS 1372,2.63 ,2008
CS 1372,2.39 ,2009
CS 1372,2.38 ,2010
CS 1372,2.63 ,2011
CS 1372,2.90 ,2012
CS 1372,3.33 ,2013
MATH 4581,3.56 ,2008
MATH 4581,3.05 ,2009
MATH 4581,3.38 ,2010
MATH 4581,3.35 ,2011
MATH 4581,3.19 ,2012
MATH 4581,3.43 ,2013
LCC 3403,3.61 ,2010
LCC 3403,3.58 ,2011
LCC 3403,3.58 ,2012
LCC 3403,3.58 ,2013
LCC 3402,3.16 ,2011
LCC 3402,3.04 ,2012
LCC 3401,3.44 ,2008
LCC 3401,3.44 ,2009
LCC 3401,3.42 ,2010
LCC 3406,3.79 ,2008
LCC 3406,3.75 ,2009
LCC 3406,3.66 ,2010
LCC 3406,3.88 ,2011
LCC 3406,3.81 ,2012
LCC 3406,3.90 ,2013
LCC 3404,3.55 ,2008
LCC 3404,3.37 ,2009
LCC 3404,3.19 ,2010
LCC 3404,3.17 ,2011
LCC 3404,3.42 ,2012
KOR 2813,3.84 ,2012
KOR 2813,3.79 ,2013
MGT 4803,3.59 ,2008
MGT 4803,3.41 ,2009
MGT 4803,3.41 ,2010
MGT 4803,3.47 ,2011
MGT 4803,3.57 ,2012
MGT 4803,3.67 ,2013
HTS 3008,3.17 ,2008
HTS 3008,2.62 ,2011
HTS 3009,3.66 ,2008
HTS 3009,3.57 ,2011
HTS 3009,3.63 ,2012
HTS 3009,3.44 ,2013
HTS 3006,3.78 ,2008
HTS 3006,3.80 ,2012
HTS 3007,2.59 ,2010
HTS 3007,2.83 ,2011
HTS 3002,3.30 ,2008
HTS 3003,3.53 ,2008
HTS 3003,3.78 ,2011
HTS 2061,3.13 ,2008
HTS 2061,3.30 ,2009
HTS 2061,3.37 ,2010
HTS 2061,3.22 ,2011
HTS 2061,3.26 ,2012
HTS 2061,3.24 ,2013
HTS 2062,3.37 ,2008
HTS 2062,3.49 ,2009
HTS 2062,3.58 ,2010
HTS 2062,3.27 ,2011
HTS 2062,3.15 ,2012
HTS 2062,3.32 ,2013
BIOL 4478,2.67 ,2008
BIOL 4478,3.00 ,2011
BIOL 4478,4.00 ,2013
BIOL 4471,3.45 ,2009
BIOL 4471,3.17 ,2011
BIOL 4471,2.97 ,2013
ME 4012,3.18 ,2009
ME 4012,3.29 ,2010
ME 4012,3.42 ,2011
ME 4012,3.23 ,2012
ME 4012,3.00 ,2013
JAPN 3813,3.80 ,2013
PHYS 4321,3.80 ,2008
PHYS 4321,3.77 ,2009
PHYS 4321,3.62 ,2010
PHYS 4321,3.23 ,2011
PHYS 4321,3.72 ,2012
PHYS 4321,3.42 ,2013
PHYS 4322,3.52 ,2008
PHYS 4322,3.50 ,2009
PHYS 4322,3.64 ,2010
PHYS 4322,3.05 ,2011
PHYS 4322,3.00 ,2012
PHYS 4322,3.13 ,2013
ARCH 4022,3.09 ,2008
ARCH 4022,3.29 ,2009
ARCH 4022,3.29 ,2010
ARCH 4022,3.33 ,2011
PSYC 4260,3.50 ,2008
PSYC 4260,2.57 ,2009
PSYC 4260,3.19 ,2011
PSYC 4260,3.21 ,2012
ME 4011,3.09 ,2008
ME 4011,2.95 ,2009
ME 4011,2.84 ,2010
ME 4011,2.80 ,2011
ME 4011,2.85 ,2012
ME 4011,2.96 ,2013
PHYS 4699,3.90 ,2008
PHYS 4699,3.91 ,2009
PHYS 4699,3.98 ,2010
PHYS 4699,3.99 ,2011
PHYS 4699,4.00 ,2012
PHYS 4699,3.95 ,2013
AE 4883,3.69 ,2008
SPAN 3040,3.11 ,2012
MGT 4028,3.06 ,2008
MGT 4028,3.33 ,2009
MGT 4028,3.40 ,2010
MGT 4028,3.44 ,2011
MGT 4028,3.50 ,2012
MGT 4026,2.64 ,2008
MGT 4026,2.41 ,2009
MGT 4026,2.56 ,2010
MGT 4026,2.91 ,2011
MGT 4026,3.49 ,2012
MGT 4026,3.16 ,2013
MGT 4027,3.54 ,2008
MGT 4027,2.95 ,2009
MGT 4027,2.72 ,2010
MGT 4027,2.83 ,2011
MGT 4027,3.15 ,2012
MGT 4027,3.67 ,2013
CHBE 4782,3.00 ,2013
CS 4470,2.38 ,2008
CS 4470,4.00 ,2009
CS 4470,3.29 ,2010
CS 4470,3.00 ,2011
CS 4470,2.75 ,2012
MUSI 1401,4.00 ,2008
MUSI 1401,4.00 ,2009
MUSI 1401,4.00 ,2010
MUSI 1401,4.00 ,2011
MUSI 1402,4.00 ,2008
MUSI 1402,4.00 ,2009
MUSI 1402,4.00 ,2011
MUSI 1402,4.00 ,2012
MUSI 1402,3.91 ,2013
ARCH 4143,3.67 ,2013
CS 4475,3.69 ,2009
CS 4475,3.55 ,2010
CS 4475,3.97 ,2011
CS 4475,3.80 ,2012
CS 4475,3.44 ,2013
BMED 3110,3.11 ,2008
BMED 3110,2.99 ,2009
BMED 3110,3.33 ,2010
BMED 3110,3.05 ,2011
BMED 3110,2.84 ,2012
BMED 3110,2.90 ,2013
ECE 2020,3.04 ,2012
ECE 2020,3.02 ,2013
MSL 1002,3.52 ,2008
MSL 1002,3.05 ,2009
MSL 1002,3.69 ,2010
MSL 1002,4.00 ,2011
MSL 1002,3.88 ,2012
MSL 1002,3.91 ,2013
ECE 2026,2.89 ,2012
ECE 2026,2.81 ,2013
ECE 2025,2.74 ,2008
ECE 2025,2.81 ,2009
ECE 2025,2.86 ,2010
ECE 2025,2.91 ,2011
ECE 2025,3.08 ,2012
HTS 4843,3.91 ,2008
HTS 3823,2.09 ,2009
HTS 3823,3.27 ,2011
HTS 3823,3.69 ,2012
HTS 3823,3.61 ,2013
PSYC 1101,3.04 ,2008
PSYC 1101,3.15 ,2009
PSYC 1101,3.11 ,2010
PSYC 1101,3.12 ,2011
PSYC 1101,3.34 ,2012
PSYC 1101,3.15 ,2013
PSYC 2103,3.17 ,2008
PSYC 2103,2.94 ,2009
PSYC 2103,3.24 ,2010
PSYC 2103,3.14 ,2011
PSYC 2103,3.12 ,2012
PSYC 2103,3.19 ,2013
GRMN 1001,3.20 ,2008
GRMN 1001,3.40 ,2009
GRMN 1001,3.45 ,2010
GRMN 1001,3.53 ,2011
GRMN 1001,3.39 ,2012
GRMN 1001,3.27 ,2013
GRMN 1002,3.17 ,2008
GRMN 1002,3.12 ,2009
GRMN 1002,3.16 ,2010
GRMN 1002,3.36 ,2011
GRMN 1002,3.37 ,2012
GRMN 1002,3.33 ,2013
CS 4616,3.25 ,2008
MATH 4022,2.99 ,2008
MATH 4022,2.89 ,2009
MATH 4022,2.72 ,2010
MATH 4022,2.67 ,2011
MATH 4022,2.55 ,2012
ECON 4610,3.19 ,2008
ECON 4610,3.16 ,2009
ECON 4610,3.45 ,2010
ECON 4610,3.55 ,2011
ECON 4610,3.07 ,2012
ECON 4610,3.22 ,2013
ARCH 4812,3.56 ,2008
CS 4270,3.96 ,2008
CS 4270,3.94 ,2010
CS 4270,3.80 ,2011
CS 4270,3.44 ,2012
ACCT 2101,2.56 ,2008
ACCT 2101,2.53 ,2009
ACCT 2101,2.68 ,2010
ACCT 2101,3.13 ,2011
ACCT 2101,2.89 ,2012
ACCT 2101,3.06 ,2013
FREN 4699,4.00 ,2009
FREN 4699,4.00 ,2010
FREN 4699,4.00 ,2011
FREN 4699,3.00 ,2013
ACCT 2102,2.91 ,2008
ACCT 2102,2.71 ,2009
ACCT 2102,3.16 ,2010
ACCT 2102,2.90 ,2011
ACCT 2102,2.95 ,2012
ACCT 2102,2.99 ,2013
CS 4472,3.64 ,2010
CS 4472,3.50 ,2011
CS 4472,4.00 ,2012
CS 4472,3.77 ,2013
MSE 4006,2.86 ,2008
MSE 4006,3.04 ,2009
MSE 4006,3.00 ,2010
MSE 4006,3.07 ,2011
MSE 4006,2.85 ,2012
MSE 4006,2.79 ,2013
MSE 4004,3.62 ,2008
MSE 4004,3.86 ,2010
MSE 4004,3.67 ,2011
MSE 4002,2.68 ,2008
MSE 4002,2.71 ,2009
MSE 4002,3.14 ,2010
MSE 4002,2.88 ,2011
MSE 4002,3.17 ,2012
CS 4290,2.90 ,2009
CS 4290,3.29 ,2010
CS 4290,3.13 ,2011
CS 4290,3.24 ,2012
CS 4290,2.16 ,2013
PSYC 2210,2.69 ,2008
PSYC 2210,2.68 ,2009
PSYC 2210,3.29 ,2010
PSYC 2210,3.50 ,2011
PSYC 2210,3.27 ,2012
PSYC 2210,3.26 ,2013
PUBP 4140,3.44 ,2011
PUBP 4140,3.44 ,2012
PUBP 4140,3.40 ,2013
ML 1814,4.00 ,2012
ML 1813,2.76 ,2008
SPAN 1813,2.78 ,2008
SPAN 1813,2.86 ,2009
SPAN 1813,3.50 ,2010
SPAN 1813,3.44 ,2011
SPAN 1813,3.78 ,2012
SPAN 1813,3.33 ,2013
MSL 4001,3.67 ,2008
MSL 4001,3.86 ,2009
MSL 4001,3.78 ,2010
MSL 4001,3.64 ,2011
MSL 4001,4.00 ,2012
MSL 4002,4.00 ,2008
MSL 4002,4.00 ,2009
MSL 4002,3.46 ,2010
MSL 4002,3.63 ,2011
MSL 4002,3.75 ,2012
MSL 4002,4.00 ,2013
NRE 4770,3.64 ,2009
PSYC 2699,3.92 ,2008
PSYC 2699,4.00 ,2009
PSYC 2699,4.00 ,2010
PSYC 2699,4.00 ,2011
PSYC 2699,4.00 ,2012
PSYC 2699,3.96 ,2013
