Course,GPA,Year
ECE 4110,2.93 ,2010
ECE 4110,2.86 ,2011
ECE 4110,3.27 ,2012
ECE 4110,3.03 ,2013
ARCH 4021,3.50 ,2008
ARCH 4021,3.31 ,2009
ARCH 4021,3.41 ,2010
ARCH 4021,3.19 ,2011
ECE 4112,3.47 ,2008
ECE 4112,3.47 ,2009
ECE 4112,3.55 ,2010
ECE 4112,3.45 ,2011
ECE 4112,3.39 ,2012
LCC 3208,3.29 ,2010
LCC 3204,3.89 ,2008
LCC 3204,3.91 ,2009
LCC 3204,3.83 ,2010
LCC 3204,3.80 ,2011
LCC 3204,4.00 ,2012
LCC 3204,4.00 ,2013
LCC 3206,3.87 ,2008
LCC 3206,3.44 ,2009
LCC 3206,3.45 ,2010
LCC 3206,3.65 ,2011
LCC 3206,3.41 ,2012
LCC 3206,3.66 ,2013
SPAN 4101,3.63 ,2009
SPAN 4101,3.79 ,2010
LCC 3202,3.03 ,2008
LCC 3202,2.91 ,2009
LCC 3202,3.41 ,2010
LCC 3202,3.44 ,2013
ME 3141,3.50 ,2009
ME 3141,3.63 ,2010
ME 3141,3.45 ,2012
ME 3141,3.67 ,2013
ECON 4910,3.41 ,2008
ECON 4910,3.75 ,2009
ECON 4910,3.60 ,2010
ECON 4910,3.75 ,2011
ECON 4910,3.82 ,2012
ECON 4910,3.70 ,2013
PUBP 3120,3.00 ,2009
PUBP 3120,3.18 ,2010
PUBP 3120,3.10 ,2011
PUBP 3120,3.39 ,2012
ECON 4311,3.58 ,2008
ECON 4311,2.90 ,2009
ECON 4311,3.50 ,2010
ECON 4311,3.25 ,2012
JAPN 4123,3.40 ,2008
JAPN 4123,3.33 ,2010
JAPN 4123,3.90 ,2012
CEE 4330,3.05 ,2008
CEE 4330,3.05 ,2009
CEE 4330,3.15 ,2010
CEE 4330,3.35 ,2011
CEE 4330,3.14 ,2012
MUSI 1112,4.00 ,2008
MUSI 1112,4.00 ,2009
MUSI 1112,4.00 ,2010
MUSI 1112,4.00 ,2011
MUSI 1112,4.00 ,2012
MUSI 1113,4.00 ,2008
MUSI 1113,4.00 ,2009
MUSI 1113,4.00 ,2010
MUSI 1113,4.00 ,2011
MUSI 1113,4.00 ,2012
MUSI 1113,4.00 ,2013
ISYE 2699,4.00 ,2009
ISYE 2699,3.50 ,2010
ISYE 2699,3.80 ,2011
ISYE 2699,3.75 ,2012
ISYE 2699,4.00 ,2013
RUSS 1001,3.57 ,2008
RUSS 1001,3.74 ,2009
RUSS 1001,3.22 ,2010
RUSS 1001,3.64 ,2011
RUSS 1001,3.81 ,2012
RUSS 1001,3.63 ,2013
MSL 2001,3.00 ,2008
MSL 2001,3.75 ,2009
MSL 2001,3.75 ,2010
MSL 2001,3.67 ,2011
MSL 2001,3.88 ,2012
SPAN 4070,3.95 ,2008
SPAN 4071,3.90 ,2009
ECE 4755,3.40 ,2008
ECE 4755,3.57 ,2009
ECE 4755,3.57 ,2010
ECE 4755,3.67 ,2011
ECE 4755,3.64 ,2012
ECE 4754,4.00 ,2008
ECE 4754,4.00 ,2009
ECE 4754,3.60 ,2010
ECE 4754,3.25 ,2011
ECE 4754,3.67 ,2012
ECE 4754,3.25 ,2013
ECE 4753,3.81 ,2008
ECE 4753,3.88 ,2009
ECE 4753,4.00 ,2010
ECE 4753,4.00 ,2011
ECE 4753,4.00 ,2012
ECE 4753,3.80 ,2013
ECE 4752,3.55 ,2008
ECE 4752,3.56 ,2009
ECE 4752,3.38 ,2010
ECE 4752,3.63 ,2011
ECE 4752,3.49 ,2012
ECE 4752,3.57 ,2013
ECE 4751,3.59 ,2008
ECE 4751,3.05 ,2009
ECE 4751,3.22 ,2010
ECE 4751,3.17 ,2011
ECE 4751,3.00 ,2012
ECE 4751,3.24 ,2013
CETL 4803,4.00 ,2011
CETL 4803,3.58 ,2012
CETL 4803,4.00 ,2013
RUSS 1002,3.65 ,2008
RUSS 1002,3.91 ,2009
RUSS 1002,3.84 ,2010
RUSS 1002,3.77 ,2011
RUSS 1002,3.76 ,2012
RUSS 1002,3.78 ,2013
MGT 4912,4.00 ,2008
MGT 4912,4.00 ,2009
MGT 4912,4.00 ,2010
MGT 4912,4.00 ,2011
MGT 4912,4.00 ,2012
MGT 4912,4.00 ,2013
MGT 4910,3.73 ,2008
MGT 4910,3.93 ,2009
MGT 4910,3.82 ,2010
MGT 4910,3.72 ,2011
MGT 4910,3.75 ,2012
MGT 4910,3.95 ,2013
MGT 4911,4.00 ,2008
MGT 4911,4.00 ,2009
MGT 4911,4.00 ,2010
MGT 4911,4.00 ,2011
MGT 4911,4.00 ,2012
MGT 4911,4.00 ,2013
CHIN 1002,3.09 ,2008
CHIN 1002,3.52 ,2009
CHIN 1002,3.63 ,2010
CHIN 1002,3.67 ,2011
CHIN 1002,3.68 ,2012
CHIN 1002,3.83 ,2013
CHIN 1001,3.54 ,2008
CHIN 1001,3.68 ,2009
CHIN 1001,3.66 ,2010
CHIN 1001,3.63 ,2011
CHIN 1001,3.62 ,2012
CHIN 1001,3.74 ,2013
MUSI 1602,4.00 ,2008
MUSI 1602,4.00 ,2009
MUSI 1602,4.00 ,2010
MUSI 1602,3.90 ,2011
MUSI 1602,4.00 ,2012
MUSI 1602,3.98 ,2013
MUSI 3402,4.00 ,2008
MUSI 3402,4.00 ,2009
MUSI 3402,4.00 ,2010
MUSI 3402,4.00 ,2011
MUSI 3402,4.00 ,2012
MUSI 3402,4.00 ,2013
MUSI 1601,4.00 ,2008
MUSI 1601,4.00 ,2009
MUSI 1601,4.00 ,2010
MUSI 1601,4.00 ,2011
MUSI 1601,3.98 ,2012
JAPN 4231,3.75 ,2011
JAPN 4231,3.88 ,2013
BC 4672,3.75 ,2013
BC 4670,3.55 ,2008
BC 4670,3.34 ,2009
BC 4670,3.83 ,2010
BC 4670,3.82 ,2011
BC 4670,3.41 ,2012
ARCH 4124,2.50 ,2009
ARCH 4124,2.73 ,2010
ARCH 4124,2.58 ,2011
PUBP 4901,4.00 ,2008
PUBP 4901,4.00 ,2011
PUBP 4901,4.00 ,2012
PUBP 4901,4.00 ,2013
PUBP 4903,3.93 ,2008
PUBP 4903,3.60 ,2009
PUBP 4903,3.25 ,2010
PUBP 4903,3.75 ,2011
PUBP 4903,3.75 ,2012
PUBP 4903,3.82 ,2013
ARCH 4125,3.88 ,2008
ARCH 4125,4.00 ,2009
ARCH 4125,4.00 ,2010
ARCH 4125,3.70 ,2011
LCC 3118,4.00 ,2011
MGT 4352,3.40 ,2008
MGT 4352,3.45 ,2009
MGT 4352,3.38 ,2010
MGT 4352,3.34 ,2011
MGT 4352,3.38 ,2012
MGT 4353,3.00 ,2008
HTS 3803,3.88 ,2008
HTS 3803,3.05 ,2009
HTS 3803,3.36 ,2010
HTS 3803,3.60 ,2011
HTS 3803,2.38 ,2012
HTS 3803,3.42 ,2013
BIOL 4418,3.10 ,2008
BIOL 4418,3.00 ,2009
BIOL 4418,3.13 ,2010
BIOL 4418,3.11 ,2012
BIOL 4418,3.67 ,2013
HTS 3067,3.37 ,2008
HTS 3067,3.44 ,2009
HTS 3067,3.53 ,2011
HTS 3067,3.61 ,2012
HTS 3064,3.23 ,2010
HTS 3064,3.80 ,2011
HTS 3065,3.38 ,2012
