Course,Year,GPA
CS 4365,2010,3.94
CS 4365,2011,3.73
CS 4365,2012,3.3
CS 4365,2013,3.78
CS 2801,2009,3.79
CS 2801,2010,3.457142857142857
CS 2801,2011,3.7233333333333327
CS 2801,2012,3.9633333333333334
CS 2801,2013,4.0
CS 4220,2008,4.0
CS 4220,2009,3.0
CS 4220,2010,2.0
CS 4220,2011,4.0
CS 4220,2012,1.33
CS 4731,2008,3.11
CS 4731,2010,3.75
CS 4731,2011,2.89
CS 4731,2012,3.1950000000000003
CS 4731,2013,3.4050000000000002
CS 4225,2009,3.5
CS 4225,2010,3.56
CS 4225,2011,3.13
CS 4225,2012,3.67
CS 4225,2013,2.92
CS 2200,2008,2.72
CS 2200,2009,2.7624999999999997
CS 2200,2010,2.66
CS 2200,2011,2.8749999999999996
CS 2200,2012,2.84
CS 2200,2013,2.8099999999999996
CS 3743,2012,4.0
CS 4649,2011,3.67
CS 4649,2012,3.38
CS 2699,2008,3.2222222222222223
CS 2699,2009,3.9255555555555555
CS 2699,2010,3.764705882352941
CS 2699,2011,3.8636363636363638
CS 2699,2012,3.888888888888889
CS 2699,2013,4.0
CS 4911,2008,3.668333333333333
CS 4911,2009,3.685
CS 4911,2010,3.9025000000000007
CS 4911,2011,3.7344444444444442
CS 4911,2012,3.8533333333333335
CS 4911,2013,3.9675000000000002
CS 4052,2013,4.0
CS 3750,2008,3.2975000000000003
CS 3750,2009,3.5475000000000003
CS 3750,2010,3.2359999999999998
CS 3750,2011,3.2150000000000003
CS 3750,2012,3.475
CS 3750,2013,3.2175000000000002
CS 4420,2008,2.06
CS 4420,2009,2.62
CS 4420,2010,3.46
CS 4420,2011,3.35
CS 4420,2012,2.87
CS 4420,2013,3.74
CS 2050,2011,2.9614285714285713
CS 2050,2012,2.841111111111111
CS 2050,2013,3.05
CS 2051,2012,3.58
CS 2051,2013,3.8
CS 4642,2009,2.766666666666667
CS 4642,2010,2.5149999999999997
CS 4642,2011,2.8049999999999997
CS 4642,2012,3.0666666666666664
CS 4642,2013,2.67
CS 4641,2008,3.33
CS 4641,2009,3.5
CS 4641,2010,3.46
CS 4641,2011,3.22
CS 4641,2012,3.4050000000000002
CS 4641,2013,3.533333333333333
CS 4335,2009,2.88
CS 4335,2010,3.27
CS 4335,2011,3.25
CS 4335,2012,3.58
CS 4335,2013,3.69
CS 3101,2009,4.0
CS 3101,2010,4.0
CS 3101,2011,4.0
CS 3451,2008,3.09
CS 3451,2009,2.925
CS 3451,2010,2.835
CS 3451,2011,2.8049999999999997
CS 3451,2012,2.9133333333333336
CS 3451,2013,2.38
CS 4330,2008,3.29
CS 4330,2009,3.43
CS 4330,2010,2.0
CS 1316,2008,2.8344444444444448
CS 1316,2009,2.83125
CS 1316,2010,2.7533333333333334
CS 1316,2011,3.17
CS 1316,2012,3.29
CS 1316,2013,3.4
CS 1315,2008,2.8200000000000003
CS 1315,2009,2.9964705882352938
CS 1315,2010,2.631666666666666
CS 1315,2011,2.9733333333333336
CS 1315,2012,3.076111111111111
CS 1315,2013,3.272727272727273
CS 2340,2008,3.39
CS 2340,2009,3.5366666666666666
CS 2340,2010,3.703333333333333
CS 2340,2011,3.84
CS 2340,2012,3.876666666666667
CS 2340,2013,3.715
CS 2110,2008,2.4457142857142857
CS 2110,2009,2.8419999999999996
CS 2110,2010,2.5420000000000003
CS 2110,2011,2.3654545454545453
CS 2110,2012,2.6493333333333333
CS 2110,2013,2.838888888888889
CS 3220,2008,3.15
CS 3220,2010,3.13
CS 3220,2011,2.925
CS 3220,2013,3.7
CS 4901,2008,3.61
CS 4901,2009,3.7175000000000002
CS 4901,2010,3.313333333333333
CS 4901,2011,3.4675
CS 4901,2012,3.6525
CS 4901,2013,3.145
CS 4903,2008,3.9545454545454546
CS 4903,2009,3.8035714285714284
CS 4903,2010,4.0
CS 4903,2011,4.0
CS 4903,2012,3.8333333333333335
CS 4903,2013,4.0
CS 4980,2008,3.7857142857142856
CS 4980,2009,3.8333333333333335
CS 4980,2010,3.8947368421052633
CS 4980,2011,3.9166666666666665
CS 4980,2012,4.0
CS 4980,2013,4.0
CS 4632,2008,3.78
CS 4632,2010,4.0
CS 1801,2012,4.0
CS 1801,2013,4.0
CS 4342,2008,3.33
CS 4343,2009,3.8
CS 4343,2010,4.0
CS 4343,2011,4.0
CS 4343,2012,4.0
CS 4343,2013,4.0
CS 3600,2008,2.9050000000000002
CS 3600,2009,2.9050000000000002
CS 3600,2010,3.055
CS 3600,2011,3.0
CS 3600,2012,3.1033333333333335
CS 3600,2013,2.855
CS 4650,2008,4.0
CS 4650,2010,4.0
CS 4650,2012,2.25
CS 4650,2013,3.0
CS 4496,2008,3.19
CS 4496,2009,3.53
CS 4496,2010,3.34
CS 4496,2011,3.0
CS 4496,2012,3.18
CS 4496,2013,3.34
CS 4495,2008,3.55
CS 4495,2009,3.37
CS 4495,2010,3.59
CS 4495,2011,2.86
CS 4495,2012,3.235
CS 4320,2008,3.4
CS 4320,2009,2.4
CS 4400,2008,3.0949999999999998
CS 4400,2009,3.0011111111111113
CS 4400,2010,2.998888888888889
CS 4400,2011,3.167
CS 4400,2012,3.143
CS 4400,2013,3.37
CS 3210,2008,3.32
CS 3210,2009,3.1550000000000002
CS 3210,2010,3.23
CS 3210,2011,3.3049999999999997
CS 3210,2012,3.0949999999999998
CS 3210,2013,3.39
CS 2261,2008,2.935
CS 2261,2009,3.17
CS 2261,2010,3.2649999999999997
CS 2261,2011,2.7800000000000002
CS 2261,2012,2.515
CS 2261,2013,2.48
CS 3801,2010,3.0
CS 3802,2009,3.5
CS 3802,2010,3.8125
CS 3802,2011,3.62
CS 3803,2009,4.0
CS 3803,2012,4.0
CS 4237,2009,3.4450000000000003
CS 4235,2008,3.3825
CS 4235,2009,3.186666666666666
CS 4235,2010,3.186666666666667
CS 4235,2011,3.186666666666666
CS 4235,2012,3.5566666666666666
CS 4235,2013,3.46
CS 1803,2010,2.705
CS 1803,2011,2.8499999999999996
CS 1803,2012,3.67
CS 3510,2008,2.938
CS 3510,2009,3.0949999999999998
CS 3510,2010,2.8200000000000003
CS 3510,2011,2.902
CS 3510,2012,3.04
CS 3510,2013,3.063333333333334
CS 3511,2009,3.33
CS 3511,2010,3.18
CS 3511,2011,3.75
CS 3511,2012,3.08
CS 3511,2013,3.4
CS 1301,2008,2.9154999999999993
CS 1301,2009,2.7447619047619045
CS 1301,2010,2.855384615384615
CS 1301,2011,3.0678260869565213
CS 1301,2012,2.966428571428571
CS 1301,2013,3.1842857142857146
