course,semester,year,A,B,C,D,F,W,GPA
CS1301,Spring,2008,28.00,37.80,16.40,6.20,5.60,5.60,2.81
CS1301,Summer,2008,28.00,42.33,18.67,3.00,4.67,3.00,2.88
CS1301,Fall,2008,36.25,27.25,19.25,4.17,3.42,9.50,2.97
CS1301,Spring,2009,34.33,30.17,19.50,7.67,0.67,8.00,2.97
CS1301,Summer,2009,24.00,29.67,28.67,7.33,0.00,10.67,2.73
CS1301,Fall,2009,22.50,31.67,27.50,8.42,4.08,6.17,2.64
CS1301,Spring,2010,36.67,29.33,11.83,8.83,7.17,7.00,2.84
CS1301,Summer,2010,29.00,32.00,18.00,4.00,0.00,18.00,3.04
CS1301,Fall,2010,27.33,39.50,19.67,4.83,4.33,4.33,2.84
CS1301,Spring,2011,39.83,36.00,13.83,2.33,3.83,3.83,3.08
CS1301,Summer,2011,35.00,42.00,15.00,3.00,2.00,3.00,3.10
CS1301,Fall,2011,41.81,30.25,15.50,6.56,2.50,3.44,3.06
CS1301,Spring,2012,27.67,40.42,16.17,6.50,3.08,6.00,2.88
CS1301,Summer,2012,28.50,23.50,25.00,5.00,8.50,9.50,2.61
CS1301,Fall,2012,39.43,37.00,13.07,3.50,3.50,3.64,3.09
CS1301,Spring,2013,42.50,35.58,11.17,5.00,1.58,3.67,3.17
CS1301,Summer,2013,52.50,31.00,10.50,2.00,4.50,0.00,3.25
