course,GPA,A,B,C,D,F,W,semester,year
CS 4660,3.39,46,43,8,0,0,3,Fall,2008
CS 4660,3.83,77,15,0,0,0,8,Fall,2009
CS 4660,3.66,71,21,6,0,0,0,Fall,2012
CS 4660,3.58,67,26,3,0,3,3,Spring,2010
CS 4660,3.54,67,21,13,0,0,0,Spring,2011
CS 4660,3.54,67,17,14,0,0,2,Spring,2012
CS 4660,3.55,73,18,0,9,0,0,Spring,2013
CS 4140,3,44,11,11,0,11,22,Fall,2009
CS 4140,2.62,31,25,6,0,19,19,Fall,2010
CS 4140,3,46,31,0,0,15,8,Fall,2011
CS 4140,2,8,15,8,15,8,38,Fall,2012
CS 4804,4,100,0,0,0,0,0,Spring,2012
CS 4801,4,97.5,0,0,0,0,2.5,Fall,2009
CS 4801,3.25,63.75,0,25,0,6.25,5,Fall,2010
CS 4801,3.833333333,80.66666667,16.66666667,0,0,0,2.666666667,Spring,2010
CS 4801,3.762,74,23.6,0,0,0,2.6,Spring,2011
CS 4801,4,84,0,0,0,0,2,Spring,2012
CS 4803,3.566,64.9,17.1,4.7,1.7,0.3,3.9,Fall,2008
CS 4803,3.855,87,11.5,1.5,0,0,0,Fall,2009
CS 4803,3.164285714,43.28571429,37.71428571,15,0,3.857142857,0,Fall,2010
CS 4803,3.725,72.5,27.5,0,0,0,0,Fall,2011
CS 4803,3.5675,66.75,11.75,3.5,0,3.5,7.25,Fall,2012
CS 4803,3.58,54.83333333,14.83333333,8,0,0,14.83333333,Spring,2008
CS 4803,3.67,66.5,16.83333333,5.333333333,0,0,8.833333333,Spring,2009
CS 4803,3.768571429,79,7.571428571,2.571428571,1,0,3.428571429,Spring,2010
CS 4803,3.188,59.2,10.8,0.8,13.4,6.6,4.2,Spring,2011
CS 4803,3.94,89,5.5,0,0,0,5.5,Spring,2012
CS 4803,3.721666667,54,3.333333333,0,0,3.333333333,14.16666667,Spring,2013
CS 4803,3.84,89,5,5,0,0,0,Summer,2008
CS 4803,4,100,0,0,0,0,0,Summer,2010
CS 4803,4,100,0,0,0,0,0,Summer,2012
CS 4802,4,100,0,0,0,0,0,Fall,2009
CS 4802,4,100,0,0,0,0,0,Fall,2010
CS 4802,4,100,0,0,0,0,0,Spring,2010
CS 4802,3.5,50,50,0,0,0,0,Spring,2011
