course,GPA,A,B,C,D,F,W,semester,year
LCC 2400,3.57 ,65.00 ,26.00 ,3.00 ,3.00 ,0.00 ,3.00 ,Spring,2008
LCC 2400,3.21 ,29.00 ,60.00 ,9.00 ,0.00 ,0.00 ,3.00 ,Spring,2009
LCC 2400,3.44 ,52.00 ,27.00 ,9.00 ,1.50 ,0.00 ,10.50 ,Spring,2010
LCC 2400,3.38 ,57.00 ,33.00 ,5.00 ,0.00 ,5.00 ,0.00 ,Spring,2011
LCC 2400,3.32 ,71.00 ,10.00 ,6.00 ,6.00 ,6.00 ,0.00 ,Spring,2012
LCC 2400,3.24 ,56.00 ,15.00 ,15.00 ,4.00 ,4.00 ,7.00 ,Spring,2013
LCC 2400,2.94 ,9.00 ,50.00 ,14.00 ,0.00 ,0.00 ,27.00 ,Summer,2010
LCC 2400,3.56 ,53.00 ,42.00 ,0.00 ,0.00 ,0.00 ,6.00 ,Summer,2011
LCC 2400,3.57 ,65.00 ,26.00 ,9.00 ,0.00 ,0.00 ,0.00 ,Summer,2012
LCC 2400,3.76 ,68.00 ,21.00 ,0.00 ,0.00 ,0.00 ,11.00 ,Summer,2013
SPAN 3102,3.58 ,71.00 ,21.00 ,4.00 ,4.00 ,0.00 ,0.00 ,Spring,2009
SPAN 3102,3.72 ,71.50 ,28.50 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2010
SPAN 3102,3.78 ,77.50 ,16.00 ,2.00 ,0.00 ,0.00 ,2.00 ,Spring,2013
SPAN 3102,3.38 ,38.00 ,63.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2009
SPAN 3102,3.60 ,50.00 ,33.00 ,0.00 ,0.00 ,0.00 ,8.00 ,Summer,2012
RUSS 1813,3.11 ,36.00 ,36.00 ,0.00 ,0.00 ,9.00 ,9.00 ,Spring,2013
CS 4240,3.05 ,31.00 ,17.00 ,10.00 ,3.00 ,3.00 ,10.00 ,Fall,2008
CS 4240,3.41 ,38.00 ,19.00 ,4.00 ,4.00 ,0.00 ,23.00 ,Fall,2009
CS 4710,3.75 ,75.00 ,25.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2008
CS 4710,3.00 ,40.00 ,40.00 ,10.00 ,0.00 ,10.00 ,0.00 ,Fall,2009
CS 4710,3.91 ,83.00 ,8.00 ,0.00 ,0.00 ,0.00 ,8.00 ,Fall,2010
CS 4710,3.55 ,82.00 ,9.00 ,0.00 ,0.00 ,9.00 ,0.00 ,Fall,2011
CS 4710,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2012
CS 4245,3.42 ,43.00 ,36.00 ,7.00 ,0.00 ,0.00 ,7.00 ,Fall,2009
CS 4245,3.26 ,29.00 ,29.00 ,11.00 ,0.00 ,0.00 ,21.00 ,Fall,2010
BIOL 4668,2.94 ,25.00 ,45.00 ,10.00 ,10.00 ,0.00 ,10.00 ,Spring,2008
BIOL 4668,2.95 ,32.00 ,24.00 ,20.00 ,8.00 ,0.00 ,8.00 ,Spring,2009
BIOL 4668,2.96 ,28.00 ,34.00 ,14.00 ,3.00 ,3.00 ,17.00 ,Spring,2010
BIOL 4668,3.50 ,50.00 ,13.00 ,13.00 ,0.00 ,0.00 ,25.00 ,Spring,2011
BIOL 4668,2.76 ,32.00 ,28.00 ,8.00 ,4.00 ,12.00 ,16.00 ,Spring,2012
BIOL 4668,2.85 ,38.00 ,23.00 ,23.00 ,15.00 ,0.00 ,0.00 ,Spring,2013
ME 1750,2.33 ,33.00 ,0.00 ,33.00 ,33.00 ,0.00 ,0.00 ,Fall,2008
ME 1750,3.00 ,0.00 ,50.00 ,0.00 ,0.00 ,0.00 ,50.00 ,Fall,2009
ECON 3110,2.40 ,23.00 ,28.00 ,26.00 ,7.00 ,14.00 ,2.00 ,Fall,2008
ECON 3110,2.61 ,22.00 ,33.00 ,26.00 ,3.00 ,9.00 ,7.00 ,Fall,2009
ECON 3110,3.11 ,26.00 ,44.00 ,17.00 ,0.00 ,0.00 ,13.00 ,Fall,2010
ECON 3110,3.91 ,74.00 ,7.00 ,0.00 ,0.00 ,0.00 ,19.00 ,Fall,2011
ECON 3110,2.66 ,41.00 ,14.00 ,6.00 ,20.00 ,8.00 ,6.00 ,Fall,2012
ECON 3110,2.92 ,24.00 ,27.00 ,18.00 ,6.00 ,0.00 ,24.00 ,Spring,2008
ECON 3110,2.50 ,22.00 ,22.00 ,22.00 ,5.00 ,10.00 ,17.00 ,Spring,2009
ECON 3110,3.33 ,48.00 ,19.00 ,8.00 ,4.00 ,2.00 ,17.00 ,Spring,2010
ECON 3110,3.00 ,19.00 ,33.00 ,19.00 ,0.00 ,0.00 ,28.00 ,Spring,2011
ECON 3110,3.02 ,31.00 ,42.00 ,18.00 ,2.00 ,2.00 ,4.00 ,Spring,2012
ECON 3110,2.82 ,22.00 ,33.00 ,22.00 ,4.00 ,2.00 ,13.00 ,Spring,2013
ECON 3110,2.80 ,17.00 ,26.00 ,17.00 ,0.00 ,4.00 ,30.00 ,Summer,2008
ECON 3110,3.57 ,45.00 ,9.00 ,9.00 ,0.00 ,0.00 ,36.00 ,Summer,2009
MUSI 3502,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2008
MUSI 3502,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2009
MUSI 3502,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2010
MUSI 3502,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2011
MUSI 3502,2.67 ,67.00 ,0.00 ,0.00 ,0.00 ,33.00 ,0.00 ,Spring,2012
MUSI 3502,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2013
MUSI 3501,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2008
MUSI 3501,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2009
MUSI 3501,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2010
MUSI 3501,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2011
MUSI 3501,3.90 ,90.00 ,10.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2012
ARCH 4831,2.88 ,25.00 ,38.00 ,38.00 ,0.00 ,0.00 ,0.00 ,Fall,2008
ARCH 4831,3.00 ,13.00 ,50.00 ,13.00 ,0.00 ,0.00 ,13.00 ,Fall,2009
ARCH 4831,3.17 ,33.00 ,50.00 ,17.00 ,0.00 ,0.00 ,0.00 ,Fall,2010
ARCH 4831,3.50 ,50.00 ,50.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2011
ARCH 4831,2.33 ,0.00 ,33.00 ,67.00 ,0.00 ,0.00 ,0.00 ,Fall,2012
ARCH 4832,2.59 ,31.00 ,28.00 ,0.00 ,0.00 ,12.50 ,16.50 ,Spring,2008
ARCH 4832,3.50 ,36.00 ,44.33 ,0.00 ,0.00 ,0.00 ,8.33 ,Spring,2009
ARCH 4833,3.50 ,50.00 ,50.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2011
ARCH 4833,3.88 ,78.00 ,11.00 ,0.00 ,0.00 ,0.00 ,11.00 ,Spring,2012
ARCH 4833,3.96 ,90.00 ,3.75 ,0.00 ,0.00 ,0.00 ,6.25 ,Spring,2013
ARCH 4833,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2013
MUSI 4521,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Summer,2011
MUSI 4522,4.00 ,100.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2012
ECE 4803,3.57 ,57.00 ,43.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Fall,2008
ECE 4803,3.40 ,63.00 ,19.00 ,6.00 ,0.00 ,6.00 ,6.00 ,Fall,2009
ECE 4803,3.36 ,50.00 ,25.00 ,17.00 ,0.00 ,0.00 ,8.00 ,Fall,2010
ECE 4803,3.67 ,75.00 ,16.50 ,8.50 ,0.00 ,0.00 ,0.00 ,Fall,2011
ECE 4803,3.91 ,91.00 ,9.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2008
ECE 4803,3.17 ,20.00 ,53.00 ,7.00 ,0.00 ,0.00 ,20.00 ,Spring,2009
ECE 4803,3.58 ,76.50 ,8.50 ,5.00 ,0.00 ,5.00 ,5.00 ,Spring,2010
ECE 4803,3.19 ,25.00 ,69.00 ,6.50 ,0.00 ,0.00 ,0.00 ,Spring,2012
ECE 4802,3.19 ,37.20 ,45.40 ,17.00 ,0.60 ,0.00 ,0.00 ,Spring,2008
CHEM 3380,3.26 ,42.00 ,38.00 ,17.00 ,0.00 ,0.00 ,4.00 ,Fall,2008
CHEM 3380,3.35 ,41.00 ,53.00 ,6.00 ,0.00 ,0.00 ,0.00 ,Fall,2009
CHEM 3380,3.26 ,36.00 ,36.00 ,14.00 ,0.00 ,0.00 ,14.00 ,Fall,2010
CHEM 3380,3.38 ,42.00 ,54.00 ,4.00 ,0.00 ,0.00 ,0.00 ,Fall,2011
CHEM 3380,3.58 ,60.00 ,30.00 ,5.00 ,0.00 ,0.00 ,5.00 ,Fall,2012
CHEM 3380,2.80 ,40.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0.00 ,Spring,2009
CHEM 3380,2.25 ,38.00 ,0.00 ,25.00 ,25.00 ,13.00 ,0.00 ,Spring,2011
CHEM 3380,3.60 ,60.00 ,40.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2012
CHEM 3380,3.44 ,56.00 ,33.00 ,11.00 ,0.00 ,0.00 ,0.00 ,Spring,2013
ML 1823,3.44 ,38.00 ,23.00 ,8.00 ,0.00 ,0.00 ,15.00 ,Spring,2009
PSYC 3041,3.86 ,75.00 ,13.00 ,0.00 ,0.00 ,0.00 ,0.00 ,Spring,2009
PSYC 3041,3.18 ,39.00 ,39.00 ,21.00 ,0.00 ,0.00 ,0.00 ,Spring,2010
PSYC 3041,3.07 ,40.00 ,33.00 ,13.00 ,10.00 ,0.00 ,3.00 ,Spring,2011
PSYC 3041,3.08 ,37.50 ,32.00 ,23.00 ,3.50 ,0.00 ,3.50 ,Spring,2012
PSYC 3041,2.85 ,27.00 ,38.00 ,23.00 ,3.50 ,3.50 ,1.50 ,Spring,2013
PSYC 3040,2.97 ,25.00 ,34.00 ,14.00 ,7.00 ,0.00 ,18.00 ,Spring,2008
PSYC 3040,2.45 ,18.00 ,35.00 ,25.00 ,8.00 ,10.00 ,4.00 ,Spring,2009
PSYC 3040,2.74 ,18.00 ,31.00 ,20.00 ,9.00 ,0.00 ,16.00 ,Spring,2010
PSYC 3040,2.62 ,21.00 ,33.00 ,31.00 ,5.00 ,5.00 ,5.00 ,Spring,2011
PSYC 3040,2.78 ,23.00 ,29.00 ,22.00 ,4.00 ,3.00 ,15.00 ,Spring,2012
PSYC 3040,2.67 ,34.00 ,24.00 ,17.00 ,3.00 ,14.00 ,7.00 ,Summer,2011
PSYC 2020,2.64 ,14.00 ,50.00 ,29.00 ,0.00 ,7.00 ,0.00 ,Fall,2008
PSYC 2020,2.78 ,28.00 ,56.00 ,0.00 ,0.00 ,17.00 ,0.00 ,Fall,2009
PSYC 2020,3.00 ,35.00 ,29.00 ,35.00 ,0.00 ,0.00 ,0.00 ,Fall,2010
PSYC 2020,2.59 ,20.00 ,30.00 ,15.00 ,20.00 ,0.00 ,15.00 ,Fall,2011
PSYC 2020,3.16 ,33.00 ,42.00 ,18.00 ,0.00 ,0.00 ,3.00 ,Fall,2012
PSYC 2020,3.13 ,39.00 ,39.00 ,9.00 ,0.00 ,6.00 ,6.00 ,Spring,2008
PSYC 2020,3.00 ,45.00 ,14.00 ,23.00 ,5.00 ,5.00 ,9.00 ,Spring,2009
PSYC 2020,2.54 ,29.00 ,18.00 ,39.00 ,7.00 ,7.00 ,0.00 ,Spring,2010
PSYC 2020,3.38 ,45.00 ,45.00 ,7.50 ,0.00 ,0.00 ,2.50 ,Spring,2011
PSYC 2020,2.82 ,17.00 ,52.00 ,17.00 ,9.00 ,0.00 ,4.00 ,Spring,2012
PSYC 2020,3.03 ,27.00 ,41.00 ,24.00 ,0.00 ,0.00 ,3.00 ,Spring,2013
BMED 1300,3.17 ,40.50 ,40.50 ,16.50 ,3.50 ,0.00 ,0.00 ,Fall,2008
BMED 1300,3.37 ,45.50 ,41.50 ,8.00 ,1.00 ,0.00 ,4.50 ,Fall,2009
BMED 1300,3.40 ,54.50 ,31.00 ,11.50 ,2.00 ,0.00 ,1.00 ,Fall,2010
BMED 1300,3.30 ,41.50 ,46.00 ,7.50 ,2.25 ,0.00 ,2.75 ,Fall,2011
BMED 1300,3.55 ,59.75 ,28.75 ,7.00 ,0.00 ,0.00 ,4.75 ,Fall,2012
BMED 1300,3.46 ,56.50 ,30.75 ,11.25 ,0.00 ,0.00 ,1.50 ,Spring,2008
BMED 1300,3.25 ,44.50 ,36.25 ,12.25 ,1.50 ,1.50 ,4.25 ,Spring,2009
BMED 1300,3.32 ,42.25 ,44.25 ,7.75 ,0.50 ,0.75 ,4.00 ,Spring,2010
BMED 1300,3.41 ,56.00 ,28.33 ,10.67 ,1.33 ,1.00 ,2.67 ,Spring,2011
BMED 1300,3.40 ,50.50 ,34.00 ,10.50 ,0.00 ,0.50 ,4.50 ,Spring,2012
BMED 1300,3.52 ,59.25 ,30.75 ,5.50 ,1.50 ,0.00 ,2.25 ,Spring,2013
BMED 1300,3.67 ,70.00 ,27.00 ,3.00 ,0.00 ,0.00 ,0.00 ,Summer,2009
BMED 1300,3.58 ,67.00 ,25.00 ,8.00 ,0.00 ,0.00 ,0.00 ,Summer,2010
BMED 1300,3.46 ,52.00 ,42.00 ,6.00 ,0.00 ,0.00 ,0.00 ,Summer,2011
BMED 1300,3.28 ,36.00 ,51.50 ,9.50 ,0.00 ,0.00 ,3.00 ,Summer,2012
MUSI 3610,3.92 ,88.00 ,7.00 ,0.00 ,0.00 ,0.00 ,5.00 ,Fall,2008
MUSI 3610,3.95 ,95.00 ,2.00 ,1.00 ,0.00 ,0.00 ,1.00 ,Fall,2009
MUSI 3610,3.95 ,92.00 ,5.00 ,0.00 ,0.00 ,0.00 ,4.00 ,Fall,2010
MUSI 3610,3.90 ,89.00 ,5.00 ,0.00 ,0.00 ,1.00 ,5.00 ,Fall,2011
MUSI 3610,4.00 ,95.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,Spring,2008
MUSI 3610,3.83 ,81.00 ,11.00 ,0.00 ,0.00 ,1.00 ,6.00 ,Spring,2009
MUSI 3610,3.94 ,96.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,Spring,2010
MUSI 3610,4.00 ,95.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.00 ,Summer,2010
MUSI 3610,3.27 ,33.00 ,43.00 ,10.00 ,0.00 ,0.00 ,13.00 ,Summer,2011
