course,semester,year,A,B,C,D,F,W,GPA
CS 4001,Spring,2009,61.5,22,7.25,0.75,2.5,6,3.47
CS 4001,Spring,2010,65.66666667,32,2.333333333,0,0,0,3.633333333
CS 4001,Spring,2011,48.33333333,32.66666667,11,2,2,4.666666667,3.286666667
CS 4001,Spring,2012,71,16.5,7.5,2.25,0.75,2.75,3.5875
CS 4001,Spring,2013,60.33333333,21.33333333,7.666666667,2,5,3.666666667,3.356666667
CS 4001,Summer,2008,36.5,39.75,18,1.5,0.75,3.5,3.13
CS 4001,Summer,2009,62,27,7.4,0,1.2,2.4,3.518
CS 4001,Summer,2010,63,29,6,0.6,1,0.4,3.532
CS 4001,Summer,2011,76,20.25,0.75,0.75,0,2.25,3.75
CS 4001,Summer,2012,77,17.66666667,3.666666667,0,1.666666667,0,3.686666667
CS 4001,Summer,2013,79.66666667,10,6.333333333,0,1,2,3.72
CS 4002,Spring,2008,53,24,6,3,3,12,3.37
CS 4002,Spring,2010,57,23,7,0,0,13,3.58
CS 4002,Spring,2011,63,25,3,0,3,6,3.53
CS 4002,Spring,2013,52,19,6,0,13,6,3.07
CS 4777,Fall,2008,33,25,17,8,17,0,2.5
CS 4777,Fall,2009,83,0,0,0,0,17,4
CS 4777,Fall,2010,25,50,0,25,0,0,2.75
CS 4777,Fall,2012,75,0,0,0,0,25,4
CS 4770,Spring,2009,56,44,0,0,0,0,3.56
CS 4770,Spring,2011,40,60,0,0,0,0,3.4
CS 4770,Spring,2012,33,17,0,0,17,33,2.75
CS 4770,Spring,2013,100,0,0,0,0,0,4
CS 4635,Fall,2008,56,25,0,0,6,13,3.43
CS 4635,Fall,2009,45,17,10,3,3,21,3.22
CS 4635,Fall,2010,55,23,3,3,0,16,3.54
CS 4635,Fall,2011,38,27,11,5,5,14,3
CS 4635,Fall,2012,54,15,10,8,0,13,3.32
CS 2316,Fall,2011,30,45.5,10.75,5.5,4.5,3.5,2.945
CS 2316,Fall,2012,24.8,42.6,15.8,2.4,2.4,10.4,2.95
CS 2316,Spring,2012,27.25,40.25,18.5,6,2,6,2.8975
CS 2316,Spring,2013,41,26.2,14.2,7.4,4.2,5.8,2.984
CS 2316,Summer,2011,32,38.5,15,14.5,0,0,2.875
CS 2316,Summer,2013,40,27,19.66666667,6,3.333333333,4.333333333,2.976666667
CS 4460,Fall,2010,0,100,0,0,0,0,3
CS 4460,Fall,2012,36,38,17,0,0,7,3.21
CS 4460,Spring,2009,6,44,17,11,6,6,2.4
CS 4460,Spring,2010,5,32,23,23,14,5,1.9
CS 4460,Spring,2011,23,25,45,5,0,0,2.67
CS 4460,Spring,2012,47,40,5,0,0,5,3.46
CS 4460,Summer,2011,39,55,6,0,0,0,3.33
CS 4464,Spring,2010,37,58,0,0,0,5,3.39
CS 4464,Spring,2012,58,23,15,4,0,0,3.35
CS 4464,Summer,2013,72,28,0,0,0,0,3.72
CS 4251,Fall,2008,59,12,0,0,0,6,3.83
CS 4251,Spring,2008,64,21,0,0,0,0,3.75
CS 4251,Spring,2011,65,24,6,0,0,6,3.63
CS 4251,Spring,2012,30,50,15,0,0,5,3.16
CS 4251,Spring,2013,50,33,11,0,0,6,3.41
CS 4392,Fall,2009,50,33,0,0,0,0,3.6
CS 4255,Spring,2009,67,33,0,0,0,0,3.67
CS 4540,Fall,2009,57,7,0,0,7,21,3.5
CS 4540,Fall,2010,65,24,6,0,0,6,3.63
CS 4540,Fall,2011,56,38,6,0,0,0,3.5
CS 4540,Fall,2012,37,30,13,0,3,7,3.16
CS 4540,Spring,2013,100,0,0,0,0,0,4
CS 4605,Fall,2008,53,32,0,0,0,16,3.63
CS 4605,Fall,2009,48,43,5,0,0,0,3.45
CS 4605,Fall,2010,44,50,6,0,0,0,3.39
CS 4605,Fall,2011,67,19,5,0,0,10,3.68
CS 4605,Spring,2013,69,23,8,0,0,0,3.62
CS 3651,Spring,2009,56,6,6,0,0,31,3.73
CS 3651,Spring,2010,73,23,4,0,0,0,3.69
CS 3651,Spring,2011,86,14,0,0,0,0,3.86
CS 3651,Spring,2012,62,10,17,0,0,10,3.5
CS 3651,Spring,2013,61,29,6,3,0,0,3.48
CS 3651,Summer,2010,86,14,0,0,0,0,3.86
CS 3651,Summer,2012,63,13,13,13,0,0,3.25
CS 3651,Summer,2013,67,33,0,0,0,0,3.67
CS 3650,Spring,2008,92,0,0,0,0,8,4
CS 1050,Fall,2008,47,31,10,5,4,4,3.17
CS 1050,Fall,2009,28.75,34.5,17,7.5,6.5,5.5,2.75
CS 1050,Fall,2010,24.5,31.75,24.25,8.5,5.75,5,2.64
CS 1050,Spring,2008,42,24.75,13.5,3,4.5,12,3.0825
CS 1050,Spring,2009,32.33333333,32.66666667,17.33333333,1.333333333,3,14,3.06
CS 1050,Spring,2010,19.25,37.25,27.5,9.75,2.5,3.75,2.625
CS 1050,Spring,2011,24.25,36.75,24.75,9,1.5,4.25,2.7575
CS 1050,Summer,2009,41,35,14,0,0,10,3.3
CS 1050,Summer,2010,36,33,18,0,3,10,3.11
CS 3300,Fall,2008,56,40,4,0,0,0,3.52
CS 3300,Fall,2009,59,41,0,0,0,0,3.59
CS 3300,Fall,2010,29,52,6,10,0,3,3.03
CS 3300,Fall,2011,100,0,0,0,0,0,4
