course,semester,year,A,B,C,D,F,W,GPA
CS 2699,Summer,2013,100,0,0,0,0,0,4
CS 4911,Fall,2008,83.33333333,15.66666667,0,0,0,1,3.843333333
CS 4911,Fall,2009,65.5,27,3.5,0,3.5,0,3.51
CS 4911,Fall,2010,88,10.66666667,0.666666667,0,0,0.666666667,3.88
CS 4911,Fall,2011,65.4,34.6,0,0,0,0,3.654
CS 4911,Fall,2012,90.33333333,4,3.333333333,0,1.666666667,0.666666667,3.826666667
CS 4911,Spring,2008,46.5,53.5,0,0,0,0,3.465
CS 4911,Spring,2009,88,6.333333333,5.666666667,0,0,0,3.82
CS 4911,Spring,2010,88.5,10.5,0,0,0,1.25,3.895
CS 4911,Spring,2011,86.33333333,10.66666667,2.666666667,0,0,0,3.836666667
CS 4911,Spring,2012,82,18,0,0,0,0,3.82
CS 4911,Spring,2013,99.33333333,0.666666667,0,0,0,0,3.993333333
CS 4911,Summer,2008,64,27,9,0,0,0,3.55
CS 4911,Summer,2009,67,29,4,0,0,0,3.63
CS 4911,Summer,2010,100,0,0,0,0,0,4
CS 4911,Summer,2011,83,17,0,0,0,0,3.83
CS 4911,Summer,2012,100,0,0,0,0,0,4
CS 4911,Summer,2013,86,11,0,0,0,3,3.89
CS 4052,Spring,2013,100,0,0,0,0,0,4
CS 3750,Fall,2008,30,67,0,0,0,3,3.32
CS 3750,Fall,2009,81,15.5,1.5,0,0,1.5,3.81
CS 3750,Fall,2010,29.5,68,1,0,0,1,3.295
CS 3750,Fall,2011,22,46,20,2,0,7,2.97
CS 3750,Fall,2012,48,38,8,0,0,8,3.43
CS 3750,Spring,2008,42,42.5,9.5,1.5,1,2.5,3.275
CS 3750,Spring,2009,40,38.5,10,1.5,0,9,3.285
CS 3750,Spring,2010,42.5,36.5,15.5,1.5,0,5,3.26
CS 3750,Spring,2011,38,45,14.5,0,0,1.5,3.24
CS 3750,Spring,2012,51,29,13,1.5,0,5,3.375
CS 3750,Spring,2013,27,41.5,26.5,0,1.5,1,2.955
CS 3750,Summer,2010,34,38,28,0,0,0,3.07
CS 3750,Summer,2011,52,38,10,0,0,0,3.41
CS 3750,Summer,2012,84,8,4,4,0,0,3.72
CS 3750,Summer,2013,57.5,33.5,9.5,0,0,0,3.48
CS 4420,Spring,2008,11,16,42,11,11,11,2.06
CS 4420,Spring,2009,38,31,0,15,15,0,2.62
CS 4420,Spring,2010,58,29,13,0,0,0,3.46
CS 4420,Spring,2011,47,37,0,0,5,11,3.35
CS 4420,Spring,2012,25,50,8,8,4,4,2.87
CS 4420,Spring,2013,67,24,0,0,0,5,3.74
CS 2050,Fall,2011,29.16666667,34.83333333,19,3.833333333,2,11.83333333,2.968333333
CS 2050,Fall,2012,28.25,35,22.75,8.75,2.75,2.75,2.795
CS 2050,Spring,2012,19.25,42.25,22.75,7.75,2.25,5.5,2.7225
CS 2050,Spring,2013,28.75,34,22,7,2,6.25,2.8575
CS 2050,Summer,2011,28,40,28,4,0,0,2.92
CS 2050,Summer,2012,56,39,6,0,0,0,3.5
CS 2050,Summer,2013,82,18,0,0,0,0,3.82
CS 2051,Fall,2012,54,29,4,0,0,14,3.58
CS 2051,Spring,2013,77,19,0,0,0,4,3.8
CS 4642,Fall,2009,13.5,72.5,9,0,0,4.5,3.05
CS 4642,Fall,2010,0,50,25,0,0,25,2.67
CS 4642,Fall,2011,22,22,33,0,0,22,2.86
CS 4642,Fall,2012,38,44,6,6,0,6,3.2
CS 4642,Spring,2009,0,50,17,0,17,17,2.2
CS 4642,Spring,2010,13,25,13,13,6,31,2.36
CS 4642,Spring,2011,0,60,20,0,0,20,2.75
CS 4642,Spring,2012,43,29,0,0,29,0,2.57
CS 4642,Spring,2013,0,50,25,0,0,0,2.67
CS 4642,Summer,2012,57,29,14,0,0,0,3.43
CS 4641,Spring,2008,47,21,5,0,5,21,3.33
CS 4641,Spring,2009,42,8,4,4,0,42,3.5
CS 4641,Spring,2010,40,33,4,0,0,20,3.46
CS 4641,Spring,2011,37,30,11,2,2,19,3.22
CS 4641,Spring,2012,43,30,5,3,1,18,3.34
CS 4641,Spring,2013,51,26,2,5,0,14,3.46
CS 4641,Summer,2012,65,24,6,6,0,0,3.47
CS 4641,Summer,2013,37,18,0,0,2,43.5,3.57
CS 4335,Spring,2009,13,63,25,0,0,0,2.88
CS 4335,Spring,2010,36,55,9,0,0,0,3.27
CS 4335,Spring,2011,33,58,8,0,0,0,3.25
CS 4335,Spring,2012,58,42,0,0,0,0,3.58
CS 4335,Spring,2013,64,29,0,0,0,7,3.69
CS 3101,Fall,2011,100,0,0,0,0,0,4
CS 3101,Spring,2010,97,0,0,0,0,0,4
CS 3101,Spring,2011,97,0,0,0,0,0,4
CS 3101,Summer,2009,100,0,0,0,0,0,4
CS 3451,Fall,2008,32,44,16,4,1,3,3.03
CS 3451,Fall,2009,38,40,10,0,3,10,3.22
CS 3451,Fall,2010,33,35,13,4,6,7,2.93
CS 3451,Fall,2011,30,21,14,4,3,26,2.98
CS 3451,Fall,2012,21,23,18,5,0,32,2.89
CS 3451,Spring,2008,43,17,21,4,0,15,3.15
CS 3451,Spring,2009,19,29,15,0,10,25,2.63
CS 3451,Spring,2010,24,28,23,4,5,16,2.74
CS 3451,Spring,2011,25,30,19,8,8,8,2.63
CS 3451,Spring,2012,41,22,17,3,7,7,2.96
CS 3451,Spring,2013,33,27,18,5,9,6,2.76
CS 3451,Summer,2012,20,27,7,0,7,40,2.89
CS 3451,Summer,2013,17,17,22,6,22,17,2
CS 4330,Spring,2008,38,38,13,0,0,0,3.29
CS 4330,Spring,2009,43,57,0,0,0,0,3.43
CS 4330,Spring,2010,0,0,100,0,0,0,2
CS 1316,Fall,2008,34.66666667,30,19.66666667,7.333333333,1.333333333,7,2.956666667
CS 1316,Fall,2009,23.66666667,18.33333333,19.66666667,15.33333333,9.666666667,13,2.346666667
CS 1316,Spring,2008,27,39.5,19.5,7.75,3,3.75,2.83
CS 1316,Spring,2009,46.75,29.5,11.5,5.75,2.5,3.75,3.165
CS 1316,Spring,2010,24.25,39,21.25,8,3,5.25,2.7625
CS 1316,Spring,2011,40,36,8,8,0,8,3.17
CS 1316,Spring,2012,38,44,0,6,0,13,3.29
CS 1316,Spring,2013,67,20,7,0,7,0,3.4
CS 1316,Summer,2008,30,19,30.5,7.5,5.5,7.5,2.66
CS 1316,Summer,2009,41,27,14,9,5,5,2.95
CS 1316,Summer,2010,18,32,27,2.5,1.5,19,2.735
CS 1315,Fall,2008,19.33333333,37.5,21.83333333,9.333333333,5.833333333,6.833333333,2.588333333
CS 1315,Fall,2009,19.83333333,41.83333333,25.83333333,7.166666667,1.333333333,4.333333333,2.748333333
CS 1315,Fall,2010,29.83333333,35.5,14,7.333333333,4.166666667,9.166666667,2.875
CS 1315,Fall,2011,35.5,37.83333333,12,4,3.333333333,7,3.06
CS 1315,Fall,2012,33.16666667,37.33333333,17,5.333333333,3.333333333,3.666666667,2.948333333
CS 1315,Spring,2008,26.5,35.875,18,7.625,3.375,8.75,2.8175
CS 1315,Spring,2009,36.75,37,15.5,5.625,2.125,2.875,3.03
CS 1315,Spring,2010,17.375,33.25,23.75,13.5,7,5.25,2.4275
CS 1315,Spring,2011,23.25,37.25,26.75,5.125,2,5.5,2.78
CS 1315,Spring,2012,37.125,32,15.25,6,2.25,7.875,3.04625
CS 1315,Spring,2013,52.25,20.75,15.625,3.25,4.375,3.625,3.18
CS 1315,Summer,2008,39.75,36,14,3.5,0.75,6.25,3.1725
CS 1315,Summer,2009,51.66666667,33.66666667,9.333333333,1.333333333,0,4,3.403333333
CS 1315,Summer,2010,25.25,35.25,22.25,9.75,5.25,2.25,2.675
CS 1315,Summer,2011,42.5,37.25,9.5,2.75,1.75,5.75,3.23
CS 1315,Summer,2012,57.25,22.25,10,2.5,3.5,4,3.3275
CS 1315,Summer,2013,60,23.33333333,8,2,0,4,3.52
CS 2340,Fall,2008,51,28,9,2,0,9,3.41
CS 2340,Fall,2009,71,18,2,0,1,8,3.72
CS 2340,Fall,2010,84,10,1,1,1,5,3.83
CS 2340,Fall,2011,93,3,3,0,0,1,3.91
CS 2340,Fall,2012,90,8,2,0,0,1,3.89
CS 2340,Spring,2008,52,29,7,3,0,9,3.43
CS 2340,Spring,2009,46,32,13,1,2,7,3.28
CS 2340,Spring,2010,65,24,2,0,1,9,3.67
CS 2340,Spring,2011,75,16,5,0,1,2,3.7
CS 2340,Spring,2012,85,11,3,0,0,1,3.82
CS 2340,Spring,2013,90,8,1,1,0,2,3.9
CS 2340,Summer,2008,47,25,13,0,2,13,3.33
CS 2340,Summer,2009,75,15,0,0,6,4,3.61
CS 2340,Summer,2010,73,18,3,0,3,2,3.61
CS 2340,Summer,2011,89,9,0,0,0,2,3.91
CS 2340,Summer,2012,91,8,0,0,0,2,3.92
CS 2340,Summer,2013,77,13,0,0,8,2,3.53
CS 2110,Fall,2008,19.5,32.75,19.5,10.75,11.25,6.25,2.4175
CS 2110,Fall,2009,27.66666667,26.66666667,22.5,12.16666667,3.666666667,7.166666667,2.676666667
CS 2110,Fall,2010,20.8,31.6,19.4,3,14.8,10.6,2.452
CS 2110,Fall,2011,16.5,31.33333333,12,10.66666667,12.5,17,2.28
CS 2110,Fall,2012,21.375,37.875,21.875,7.875,4.125,6.875,2.68875
CS 2110,Spring,2008,20.5,30,17,17,8,7,2.405
CS 2110,Spring,2009,30,45,11,5,4,5,2.97
CS 2110,Spring,2010,24.25,29.25,29.5,3.5,8.5,5,2.6075
CS 2110,Spring,2011,19,27,27.75,8.5,6.25,11.25,2.49
CS 2110,Spring,2012,27.33333333,25.66666667,21.5,13.83333333,5.5,6,2.596666667
CS 2110,Spring,2013,26.375,36.375,22.25,5.5,2.375,6.75,2.8475
CS 2110,Summer,2008,23,33,18,15,3,10,2.64
CS 2110,Summer,2009,25.5,32.5,3,0,3,35.5,3.21
CS 2110,Summer,2010,30,28,21,7,7,7,2.73
CS 2110,Summer,2011,18,26,15,15,8,18,2.38
CS 2110,Summer,2012,22,36,22,4,8,8,2.65
CS 2110,Summer,2013,29,27,33,6,2,2,2.77
CS 3220,Fall,2008,34,45,10,0,3,3,3.15
CS 3220,Fall,2011,54,8,21,0,8,8,3.09
CS 3220,Spring,2010,42,27,19,0,4,4,3.13
CS 3220,Spring,2011,35,18,35,12,0,0,2.76
CS 3220,Spring,2013,70,30,0,0,0,0,3.7
CS 4901,Fall,2008,83,17,0,0,0,0,3.83
CS 4901,Fall,2009,33,53,7,0,7,0,3.07
CS 4901,Fall,2010,68,30,0,0,0,3,3.69
CS 4901,Fall,2011,81.5,16.5,2,0,0,0,3.79
CS 4901,Fall,2012,79.5,18,2.5,0,0,0,3.775
CS 4901,Spring,2008,100,0,0,0,0,0,4
CS 4901,Spring,2009,100,0,0,0,0,0,4
CS 4901,Spring,2010,92,2,2,0,2,2,3.85
CS 4901,Spring,2011,24,51,16,3,5,0,2.86
CS 4901,Spring,2012,72,19,6,0,3,0,3.56
CS 4901,Spring,2013,80,15,2.5,0,0,2.5,3.79
CS 4901,Summer,2008,50,0,50,0,0,0,3
CS 4901,Summer,2009,80,20,0,0,0,0,3.8
CS 4901,Summer,2010,20,40,20,0,20,0,2.4
CS 4901,Summer,2011,43,57,0,0,0,0,3.43
CS 4901,Summer,2012,50,50,0,0,0,0,3.5
CS 4901,Summer,2013,16.5,16.5,66.5,0,0,0,2.5
CS 4903,Fall,2008,100,0,0,0,0,0,4
CS 4903,Fall,2009,100,0,0,0,0,0,4
CS 4903,Fall,2010,98.66666667,0,0,0,0,1.333333333,4
CS 4903,Fall,2011,100,0,0,0,0,0,4
CS 4903,Fall,2012,80,0,20,0,0,0,3.6
CS 4903,Spring,2008,90,10,0,0,0,0,3.9
CS 4903,Spring,2009,87.5,12.5,0,0,0,0,3.875
CS 4903,Spring,2010,100,0,0,0,0,0,4
CS 4903,Spring,2011,99.66666667,0,0,0,0,0.333333333,4
CS 4903,Spring,2012,100,0,0,0,0,0,4
CS 4903,Spring,2013,99.57142857,0,0,0,0,0.428571429,4
CS 4903,Summer,2008,90,0,0,0,0,0,4
CS 4903,Summer,2009,50,0,50,0,0,0,3
CS 4903,Summer,2010,100,0,0,0,0,0,4
CS 4903,Summer,2011,100,0,0,0,0,0,4
CS 4903,Summer,2012,100,0,0,0,0,0,4
CS 4903,Summer,2013,100,0,0,0,0,0,4
CS 4980,Fall,2008,66.66666667,33.33333333,0,0,0,0,3.666666667
CS 4980,Fall,2009,50,50,0,0,0,0,3.5
CS 4980,Fall,2010,100,0,0,0,0,0,4
CS 4980,Fall,2011,100,0,0,0,0,0,4
CS 4980,Fall,2012,100,0,0,0,0,0,4
CS 4980,Spring,2008,90,0,10,0,0,0,3.8
CS 4980,Spring,2009,95,5,0,0,0,0,3.95
CS 4980,Spring,2010,81.81818182,18.18181818,0,0,0,0,3.818181818
CS 4980,Spring,2011,88.88888889,11.11111111,0,0,0,0,3.888888889
CS 4980,Spring,2012,100,0,0,0,0,0,4
CS 4980,Spring,2013,96.15384615,0,0,0,0,3.846153846,4
CS 4980,Summer,2008,100,0,0,0,0,0,4
CS 4980,Summer,2009,100,0,0,0,0,0,4
CS 4980,Summer,2010,100,0,0,0,0,0,4
CS 4980,Summer,2011,100,0,0,0,0,0,4
CS 4980,Summer,2013,100,0,0,0,0,0,4
CS 4632,Fall,2008,84,0,11,0,0,0,3.78
CS 4632,Fall,2010,100,0,0,0,0,0,4
CS 1801,Spring,2012,98,0,0,0,0,2,4
CS 1801,Spring,2013,100,0,0,0,0,0,4
CS 4342,Summer,2008,67,0,33,0,0,0,3.33
CS 4343,Spring,2009,80,20,0,0,0,0,3.8
CS 4343,Spring,2010,100,0,0,0,0,0,4
CS 4343,Spring,2011,100,0,0,0,0,0,4
CS 4343,Spring,2012,100,0,0,0,0,0,4
CS 4343,Spring,2013,80,0,0,0,0,10,4
CS 3600,Fall,2008,24,25,5,5,5,33,2.86
CS 3600,Fall,2009,21,26,24,3,2,24,2.81
CS 3600,Fall,2010,42,23,3,3,7,23,3.16
CS 3600,Fall,2011,29,23,12,6,2,25,3
CS 3600,Fall,2012,39,17,12,2,2,26,3.2
CS 3600,Spring,2008,28,25,12,0,7,27,2.95
CS 3600,Spring,2009,53,16,4,4,13,9,3
CS 3600,Spring,2010,38,16,10,4,8,18,2.95
CS 3600,Spring,2011,33,19,20,4,2,20,3
CS 3600,Spring,2012,28,26,11,7,3,23,2.95
CS 3600,Spring,2013,33,24,12,9,5,9,2.86
CS 3600,Summer,2012,53,26,5,16,0,0,3.16
CS 3600,Summer,2013,36,29,14,7,7,4,2.85
CS 4650,Fall,2008,67,0,0,0,0,33,4
CS 4650,Fall,2010,71,0,0,0,0,29,4
CS 4650,Spring,2010,100,0,0,0,0,0,4
CS 4650,Spring,2012,13,13,13,0,13,50,2.25
CS 4650,Spring,2013,0,40,0,0,0,40,3
CS 4496,Spring,2008,52,13,22,0,4,9,3.19
CS 4496,Spring,2009,43,39,0,0,0,13,3.53
CS 4496,Spring,2010,49,18,13,0,3,18,3.34
CS 4496,Spring,2011,33,25,22,6,0,14,3
CS 4496,Spring,2012,42,32,10,3,3,6,3.18
CS 4496,Spring,2013,38,31,5,0,2,21,3.34
CS 4495,Fall,2008,44,19,6,0,0,31,3.55
CS 4495,Fall,2009,55,20,20,0,0,5,3.37
CS 4495,Fall,2010,63,17,10,0,0,7,3.59
CS 4495,Fall,2011,28,36,21,0,6,9,2.86
CS 4495,Fall,2012,54.5,7.5,5,6,6,15,3.235
CS 4320,Fall,2008,40,60,0,0,0,0,3.4
CS 4320,Fall,2009,0,80,0,0,20,0,2.4
CS 4400,Fall,2008,24.66666667,49.66666667,20,1.666666667,0.333333333,2,2.996666667
CS 4400,Fall,2009,25.33333333,42,21.66666667,5.333333333,1,4.333333333,2.903333333
CS 4400,Fall,2010,24.66666667,50,12.33333333,3,1.333333333,7.333333333,3.023333333
CS 4400,Fall,2011,25.66666667,47.33333333,18.66666667,2.666666667,0,4.333333333,3.02
CS 4400,Fall,2012,27.33333333,52.33333333,15.33333333,2.333333333,0,1.666666667,3.08
CS 4400,Spring,2008,34,46.33333333,14.33333333,1,0.666666667,3.333333333,3.166666667
CS 4400,Spring,2009,28.66666667,35.66666667,26.33333333,3.333333333,1.333333333,2.333333333,2.913333333
CS 4400,Spring,2010,21.66666667,44.66666667,20.33333333,5.333333333,1,5,2.863333333
CS 4400,Spring,2011,35.66666667,42.33333333,18.33333333,1,0,1.333333333,3.15
CS 4400,Spring,2012,32.66666667,42.33333333,18.33333333,2.666666667,0.666666667,2.666666667,3.066666667
CS 4400,Spring,2013,40.75,36.75,14.75,1.25,0,2.5,3.2475
CS 4400,Summer,2008,30.5,43,14.5,2,0,6.5,3.135
CS 4400,Summer,2009,34.33333333,52.33333333,9.333333333,2,0.666666667,0,3.186666667
CS 4400,Summer,2010,35.66666667,44.33333333,13,2,2.333333333,3,3.11
CS 4400,Summer,2011,44.5,37.75,13.75,1,0.5,2.75,3.29
CS 4400,Summer,2012,39.75,45.75,10.25,1.25,0.75,1.75,3.2475
CS 4400,Summer,2013,59.33333333,35,3.333333333,0,1.333333333,1,3.533333333
CS 3210,Fall,2008,43,33,8,0,3,5,3.32
CS 3210,Fall,2009,26,38,19,5,2,2,2.89
CS 3210,Fall,2010,59,22,4,0,4,7,3.5
CS 3210,Fall,2011,79,15,3,0,0,3,3.78
CS 3210,Fall,2012,36,31,11,2,2,16,3.16
CS 3210,Spring,2009,54,29,7,4,0,7,3.42
CS 3210,Spring,2010,28,40,20,0,4,8,2.96
CS 3210,Spring,2011,30,39,22,0,9,0,2.83
CS 3210,Spring,2012,33,31,8,8,3,10,3.03
CS 3210,Spring,2013,47,25,14,0,0,8,3.39
CS 2261,Fall,2008,47,19,11,4,13,6,2.89
CS 2261,Fall,2009,59,23,4,4,8,1,3.21
CS 2261,Fall,2010,44,35,3,2,5,11,3.27
CS 2261,Fall,2011,36,23,14,2,16,9,2.68
CS 2261,Fall,2012,19,33,14,16,12,2,2.33
CS 2261,Spring,2008,49,22,17,2,10,0,2.98
CS 2261,Spring,2009,60,14,7,2,12,5,3.13
CS 2261,Spring,2010,52,24,11,2,4,7,3.26
CS 2261,Spring,2011,37,26,19,4,7,7,2.88
CS 2261,Spring,2012,44,17,15,10,13,2,2.7
CS 2261,Spring,2013,32,20,18,11,14,2,2.48
CS 3801,Fall,2010,0,100,0,0,0,0,3
CS 3802,Fall,2009,50,50,0,0,0,0,3.5
CS 3802,Fall,2010,75,25,0,0,0,0,3.75
CS 3802,Spring,2010,100,0,0,0,0,0,4
CS 3802,Spring,2011,60,36.6,0,0,0,3.4,3.62
CS 3803,Fall,2012,90,0,0,0,0,0,4
CS 3803,Spring,2009,95,0,0,0,0,0,4
CS 4237,Fall,2009,53,42,0,0,0,5,3.56
CS 4237,Spring,2009,50,29,0,0,7,0,3.33
CS 4235,Fall,2008,43.5,36.5,3.5,5,3.5,8.5,3.19
CS 4235,Fall,2009,19,26,31,2,5,17,2.63
CS 4235,Fall,2010,34,37,20,2,5,2,2.95
CS 4235,Fall,2011,54,8,21,4,0,13,3.29
CS 4235,Fall,2012,47,44,0,0,0,7,3.51
CS 4235,Spring,2008,47,47,6,0,0,0,3.42
CS 4235,Spring,2009,49,44,2,2,0,2,3.43
CS 4235,Spring,2010,18,56,21,0,0,6,2.97
CS 4235,Spring,2011,28,39,15,2,7,9,2.88
CS 4235,Spring,2012,61,35,4,0,0,0,3.57
CS 4235,Spring,2013,74,18,2,0,2,4,3.69
CS 4235,Summer,2008,73,18,0,3,0,8,3.73
CS 4235,Summer,2009,67,15,5,0,5,5,3.5
CS 4235,Summer,2010,67,20,2,0,2,6,3.64
CS 4235,Summer,2011,39,61,0,0,0,0,3.39
CS 4235,Summer,2012,68,25,0,0,4,4,3.59
CS 4235,Summer,2013,46,21,25,0,0,4,3.23
CS 1803,Fall,2010,29,29.5,19.25,11.5,5,6.25,2.705
CS 1803,Spring,2011,30.25,37.75,15.75,5.5,6,4.5,2.85
CS 1803,Summer,2012,50,25,0,0,0,13,3.67
CS 3510,Fall,2008,36,21,21,0,8,15,2.91
CS 3510,Fall,2009,22,47,17,3,5,5,2.82
CS 3510,Fall,2010,28.5,25,31,2.5,0,14,2.915
CS 3510,Fall,2011,33.5,27,18.5,6,1.5,14.5,3.005
CS 3510,Fall,2012,31.5,32.5,21.5,4.5,1,9,2.965
CS 3510,Spring,2008,23.5,29,27.5,2.5,3,14,2.78
CS 3510,Spring,2009,26,51,17,2,4,0,2.91
CS 3510,Spring,2010,14,44,20,5,3,14,2.71
CS 3510,Spring,2011,21.5,36.5,35.5,1,0,4,2.83
CS 3510,Spring,2012,36,26,25.5,2,2,9,3.01
CS 3510,Spring,2013,33,36,22,1,2,6,3.035
CS 3510,Summer,2008,41.5,32,18.5,2,2,4,3.11
CS 3510,Summer,2009,60,13.5,21.5,0,2,2,3.325
CS 3510,Summer,2010,26,37,26,9,3,0,2.74
CS 3510,Summer,2011,26,26,35,3,0,9,2.84
CS 3510,Summer,2012,36,33,15,0,0,15,3.25
CS 3510,Summer,2013,29,32,12,0,3,21,3.12
CS 3511,Spring,2009,67,22,0,0,11,0,3.33
CS 3511,Spring,2010,55,18,18,9,0,0,3.18
CS 3511,Spring,2011,50,17,0,0,0,17,3.75
CS 3511,Spring,2012,47,7,20,0,7,20,3.08
CS 3511,Spring,2013,56,32,8,4,0,0,3.4
CS 1301,Fall,2008,36.25,27.25,19.25,4.166666667,3.416666667,9.5,2.969166667
CS 1301,Fall,2009,22.5,31.66666667,27.5,8.416666667,4.083333333,6.166666667,2.635833333
CS 1301,Fall,2010,27.33333333,39.5,19.66666667,4.833333333,4.333333333,4.333333333,2.84
CS 1301,Fall,2011,41.8125,30.25,15.5,6.5625,2.5,3.4375,3.06
CS 1301,Fall,2012,39.42857143,37,13.07142857,3.5,3.5,3.642857143,3.088571429
CS 1301,Spring,2008,28,37.8,16.4,6.2,5.6,5.6,2.806
CS 1301,Spring,2009,34.33333333,30.16666667,19.5,7.666666667,0.666666667,8,2.971666667
CS 1301,Spring,2010,36.66666667,29.33333333,11.83333333,8.833333333,7.166666667,7,2.84
CS 1301,Spring,2011,39.83333333,36,13.83333333,2.333333333,3.833333333,3.833333333,3.083333333
CS 1301,Spring,2012,27.66666667,40.41666667,16.16666667,6.5,3.083333333,6,2.884166667
CS 1301,Spring,2013,42.5,35.58333333,11.16666667,5,1.583333333,3.666666667,3.174166667
CS 1301,Summer,2008,28,42.33333333,18.66666667,3,4.666666667,3,2.883333333
CS 1301,Summer,2009,24,29.66666667,28.66666667,7.333333333,0,10.66666667,2.726666667
CS 1301,Summer,2010,29,32,18,4,0,18,3.04
CS 1301,Summer,2011,35,42,15,3,2,3,3.1
CS 1301,Summer,2012,28.5,23.5,25,5,8.5,9.5,2.605
CS 1301,Summer,2013,52.5,31,10.5,2,4.5,0,3.245
