Course,Year,GPA
CSE 6742,2011.0,4.0
CSE 6742,2012.0,4.0
CSE 6742,2013.0,4.0
CS 4710,2000.0,4.0
CS 4710,2001.0,3.67
CS 4710,2002.0,3.69
CS 4710,2003.0,3.86
CS 4710,2004.0,3.83
CS 4710,2005.0,3.9
CS 4710,2006.0,3.75
CS 4710,2007.0,3.9
CS 4710,2008.0,3.75
CS 4710,2009.0,3.0
CS 4710,2010.0,3.91
CS 4710,2011.0,3.55
CS 4710,2012.0,4.0
CS 4245,2009.0,3.42
CS 4245,2010.0,3.26
CS 4464,2010.0,3.39
CS 4464,2012.0,3.35
CS 4464,2013.0,3.72
CS 4001,2003.0,3.5662499999999997
CS 4001,2004.0,3.4099999999999997
CS 4001,2005.0,3.3244444444444445
CS 4001,2006.0,3.20875
CS 4001,2007.0,3.2120000000000006
CS 4001,2008.0,3.2380000000000004
CS 4001,2009.0,3.4933333333333327
CS 4001,2010.0,3.5425
CS 4001,2011.0,3.5381818181818185
CS 4001,2012.0,3.6136363636363638
CS 4001,2013.0,3.5383333333333327
CS 4000,1999.0,3.4299999999999997
CS 4000,2000.0,3.344444444444444
CS 4000,2001.0,3.5169999999999995
CS 4000,2002.0,3.3866666666666667
CS 4000,2003.0,3.625
CS 4002,2005.0,3.0
CS 4002,2007.0,3.54
CS 4002,2008.0,3.37
CS 4002,2010.0,3.58
CS 4002,2011.0,3.53
CS 4002,2013.0,3.07
CS 4777,1999.0,3.6
CS 4777,2000.0,2.5
CS 4777,2001.0,2.25
CS 4777,2002.0,2.8
CS 4777,2003.0,3.5
CS 4777,2004.0,3.5
CS 4777,2005.0,3.67
CS 4777,2006.0,4.0
CS 4777,2008.0,2.5
CS 4777,2009.0,4.0
CS 4777,2010.0,2.75
CS 4777,2012.0,4.0
CS 6246,2003.0,3.33
CS 6246,2004.0,3.5
CS 6246,2005.0,3.26
CS 6241,2000.0,3.2
CS 6241,2001.0,3.33
CS 6241,2002.0,3.25
CS 6241,2003.0,3.38
CS 6241,2005.0,3.47
CS 6241,2006.0,3.62
CS 6241,2007.0,3.43
CS 6241,2008.0,3.71
CS 6241,2009.0,3.55
CS 6241,2010.0,3.4
CS 6241,2011.0,3.33
CS 6241,2012.0,3.15
CS 6241,2013.0,3.31
CSE 6730,2009.0,3.715
CSE 6730,2010.0,3.4000000000000004
CSE 6730,2011.0,3.725
CSE 6730,2012.0,3.5149999999999997
CSE 6730,2013.0,3.67
CS 4770,2009.0,3.56
CS 4770,2011.0,3.4
CS 4770,2012.0,2.75
CS 4770,2013.0,4.0
CS 4635,2007.0,3.36
CS 4635,2008.0,3.43
CS 4635,2009.0,3.22
CS 4635,2010.0,3.54
CS 4635,2011.0,3.0
CS 4635,2012.0,3.32
CS 6770,2006.0,4.0
CS 6770,2009.0,3.67
CS 6770,2011.0,3.95
CS 6770,2012.0,4.0
CS 6770,2013.0,4.0
CS 4670,2001.0,4.0
CS 4670,2003.0,2.86
CS 4670,2006.0,3.33
CS 2316,2011.0,2.9216666666666664
CS 2316,2012.0,2.9266666666666667
CS 2316,2013.0,2.98125
CS 6470,2000.0,3.71
CS 6470,2002.0,3.42
CS 6470,2005.0,3.82
CS 6470,2007.0,3.94
CS 6470,2009.0,3.53
CS 6470,2010.0,3.88
CS 6470,2011.0,3.71
CS 6470,2012.0,3.94
CS 6470,2013.0,3.85
